date,description,confederate,union,theater,cwsac_id
1865-04-02,"Sailor's Creek, VA - April 6",7700.0,1148.0,Eastern,VA093
1865-04-02,"Rice's Station, VA - April 6",,66.0,Eastern,VA092
1865-04-02,High Bridge. VA-April 6-7,100.0,847.0,Eastern,VA095
1865-04-02,"Cumberland Church, VA - April 7",,571.0,Eastern,VA094
1865-04-02,"Appomattox Station, VA April 8",1000.0,48.0,Eastern,VA096
1865-04-09,"Fort Blakely, AL - April 2-9",3700.0,775.0,Western,AL006
1865-04-09,"Appomattox Court House, VA - April 9",500.0,164.0,Eastern,VA097
1865-05-07,Jefferson Davis captured - May 10,,,,
1865-05-07,"Palmito Ranch, TX - May 12-13",118.0,30.0,Trans-Mississippi,TX005
1865-04-23,Johnston surrenders - April 26,,,,
1865-04-30,Taylor surrenders - May 4,,,,
1865-05-21,Buckner surrenders - May 26,,,,
1865-06-18,Stand Waite surrenders - June 23,,,,
1861-04-07,attrition,0.0,0.0,,
1861-04-14,attrition,0.0,0.0,,
1861-04-21,attrition,0.0,0.0,,
1861-04-28,attrition,0.0,0.0,,
1861-05-05,attrition,0.0,0.0,,
1861-05-12,attrition,0.0,0.0,,
1861-05-19,attrition,0.0,0.0,,
1861-05-26,attrition,0.0,0.0,,
1861-06-02,attrition,0.0,0.0,,
1861-06-09,attrition,0.0,0.0,,
1861-06-16,attrition,0.0,0.0,,
1861-06-23,attrition,926.0,1395.0,,
1861-06-30,attrition,926.0,1395.0,,
