battle_id,battle_name,url,start_date,end_date,alternate_names,location,state,campaign,result,total_casualties,total_strength,cwsac_id,dbpedia_url
prairie-grove,Prairie Grove,http://www.civilwar.org/battlefields/prairie-grove.html,1862-12-07,1862-12-07,,Washington County,AR,,Union Victory,,,AR005,http://dbpedia.org/resource/Battle_of_Prairie_Grove
harpers-ferry,Harpers Ferry,http://www.civilwar.org/battlefields/harpers-ferry.html,1862-09-12,1862-09-15,,Jefferson County,WV,Maryland Campaign,Confederate Victory,12922,44000,WV010,http://dbpedia.org/resource/Battle_of_Harpers_Ferry
port-republic,Port Republic,http://www.civilwar.org/battlefields/port-republic.html,1862-06-09,1862-06-09,,Rockingham County,VA,Jackson’s Shenandoah Valley Campaign,Confederate Victory,1818,9500,VA106,http://dbpedia.org/resource/Battle_of_Port_Republic
williamsburg,Williamsburg,http://www.civilwar.org/battlefields/williamsburg.html,1862-05-05,1862-05-05,,York County and Williamsburg,VA,Peninsula Campaign,Inconclusive,,,VA010,http://dbpedia.org/resource/Battle_of_Williamsburg
wilson-s-creek,Wilson's Creek,http://www.civilwar.org/battlefields/wilson-s-creek.html,1861-08-10,1861-08-10,,Greene and Christian County,MO,,Confederate Victory,,,MO004,http://dbpedia.org/resource/Battle_of_Wilson's_Creek
dranesville,Dranesville,http://www.civilwar.org/battlefields/dranesville.html,1861-12-20,1861-12-20,,Fairfax County,VA,,Union Victory,,,VA007,http://dbpedia.org/resource/Battle_of_Dranesville
natural-bridge,Natural Bridge,http://www.civilwar.org/battlefields/natural-bridge.html,1865-03-06,1865-03-06,,Leon County,FL,,Confederate Victory,,,FL006,http://dbpedia.org/resource/Battle_of_Natural_Bridge
bullrun,Bull Run,http://www.civilwar.org/battlefields/bullrun.html,1861-07-21,1861-07-21,First Manassas,Fairfax County and Prince William County,VA,,Confederate Victory,4878,60680,VA005,http://dbpedia.org/resource/First_Battle_of_Bull_Run
kennesaw-mountain,Kennesaw Mountain,http://www.civilwar.org/battlefields/kennesaw-mountain.html,1864-06-27,1864-06-27,,Cobb County,GA,Atlanta Campaign,Confederate Victory,4000,150000,GA015,http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain
parker-s-cross-roads,Parker's Cross Roads,http://www.civilwar.org/battlefields/parker-s-cross-roads.html,1862-12-31,1862-12-31,,Henderson County,TN,,Confederate Victory,,,TN011,http://dbpedia.org/resource/Battle_of_Parker's_Cross_Roads
fort-pulaski,Fort Pulaski,http://www.civilwar.org/battlefields/fort-pulaski.html,1862-04-10,1862-04-11,,Chatham County,GA,,Union Victory,,,GA001,http://dbpedia.org/resource/Battle_of_Fort_Pulaski
yorktown,Yorktown,http://www.civilwar.org/battlefields/yorktown.html,1862-04-05,1862-05-04,,York County and Newport News,VA,Peninsula Campaign,Inconclusive,,,VA009,http://dbpedia.org/resource/Siege_of_Yorktown_(1862)
