PersonID,Keyword
2bdcf35e-f609-43e7-bf34-0d6af4df295f,Commanders - Army
2bdcf35e-f609-43e7-bf34-0d6af4df295f,Soldier
2bdcf35e-f609-43e7-bf34-0d6af4df295f,Military
2bdcf35e-f609-43e7-bf34-0d6af4df295f,Major
2bdcf35e-f609-43e7-bf34-0d6af4df295f,Baxter Springs
2bdcf35e-f609-43e7-bf34-0d6af4df295f,Male
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,European American
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,Union
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,Commanders
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,US - Commander - TN013
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,Commanders - Army
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,Soldier
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,Military
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,Male
9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,Colonel
f7329508-919d-4fc2-af29-0dbb4c0f2291,European American
f7329508-919d-4fc2-af29-0dbb4c0f2291,Union
f7329508-919d-4fc2-af29-0dbb4c0f2291,Commanders
f7329508-919d-4fc2-af29-0dbb4c0f2291,Soldiers
f7329508-919d-4fc2-af29-0dbb4c0f2291,Commanders - Army
f7329508-919d-4fc2-af29-0dbb4c0f2291,Military
f7329508-919d-4fc2-af29-0dbb4c0f2291,Major General
f7329508-919d-4fc2-af29-0dbb4c0f2291,MWV
f7329508-919d-4fc2-af29-0dbb4c0f2291,Male
f7329508-919d-4fc2-af29-0dbb4c0f2291,US - Commander - VA108
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,European American
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,Commanders
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,Soldiers
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,Commanders - Army
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,Military
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,Brigadier General
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,CS - Commander - MO012
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,Male
9514b7b0-7398-44aa-89c2-0e8a1f09f32f,Confederate
306919f0-5ae8-4dee-ba37-0ea56b932b91,European American
306919f0-5ae8-4dee-ba37-0ea56b932b91,Commanders
306919f0-5ae8-4dee-ba37-0ea56b932b91,Commanders - Army
306919f0-5ae8-4dee-ba37-0ea56b932b91,Soldier
