cwsac_id,belligerent,casualties_kwm_mean,casualties_k_mean,casualties_w_mean,casualties_m_mean,casualties_kwm_var,casualties_k_var,casualties_w_var,casualties_m_var,casualties_kw_mean,casualties_kw_var,strength_mean,strength_var,casualties_km_mean,casualties_wm_mean,casualties_km_var,casualties_wm_var
MO003,US,62,,,,0.08333333333333333,,,,,,600,833.3333333333334,,,,
MO004,Confederate,464,,,,0.08333333333333333,,,,,,,,,,,
MO004,US,1317,,,,0.08333333333333333,,,,,,,,,,,
MO005,Confederate,,,,,,,,,,,6e3,83333.33333333333,,,,
MO005,US,14,,,,0.08333333333333333,,,,,,600,833.3333333333334,,,,
MO006,Confederate,100,,,,833.3333333333334,,,,,,12e3,83333.33333333333,,,,
MO006,US,3500,,,,833.3333333333334,,,,,,3500,833.3333333333334,,,,
MO007,Confederate,62,,,,0.08333333333333333,,,,,,,,,,,
MO007,US,,,,,,,,,,,2500,833.3333333333334,,,,
MO008,Confederate,133,,,,0.08333333333333333,,,,,,,,,,,
MO008,US,85,,,,0.08333333333333333,,,,,,,,,,,
MO009,Confederate,641,,,,0.08333333333333333,,,,,,,,,,,
MO009,US,607,,,,0.08333333333333333,,,,,,,,,,,
MO010,Confederate,210,,,,8.333333333333334,,,,,,,,,,,
MO010,US,72,,,,0.08333333333333333,,,,,,440,8.333333333333334,,,,
MO011,Confederate,80,,,,8.333333333333334,,,,,,,,,,,
MO011,US,11,,,,0.08333333333333333,,,,,,450,8.333333333333334,,,,
MO012,Confederate,,,,,,,,,,,,,,,,
MO012,US,,,,,,,,,,,,,,,,
MO013,Confederate,368,,,,0.08333333333333333,,,,,,2500,833.3333333333334,,,,
MO013,US,88,,,,0.08333333333333333,,,,,,1e3,83333.33333333333,,,,
MO014,Confederate,,,,,,,,,,,750,8.333333333333334,,,,
MO014,US,344,,,,0.08333333333333333,,,,,,312,0.08333333333333333,,,,
MO015,Confederate,110,,,,8.333333333333334,,,,,,,,,,,
MO015,US,272,,,,0.08333333333333333,,,,,,800,833.3333333333334,,,,
MO016,Confederate,78,,,,0.08333333333333333,,,,,,,,,,,
MO016,US,245,,,,0.08333333333333333,,,,,,1500,833.3333333333334,,,,
MO017,Confederate,34,,,,0.08333333333333333,,,,,,1e3,83333.33333333333,,,,
MO017,US,119,,,,0.08333333333333333,,,,,,113,0.08333333333333333,,,,
MO018,Confederate,240,,,,8.333333333333334,,,,,,,,,,,
MO018,US,163,,,,0.08333333333333333,,,,,,2e3,83333.33333333333,,,,
MO019,Confederate,329,,,,0.08333333333333333,,,,,,,,,,,
MO019,US,78,,,,0.08333333333333333,,,,,,700,833.3333333333334,,,,
MO020,Confederate,325,,,,0.08333333333333333,,,,,,,,,,,
MO020,US,12,,,,0.08333333333333333,,,,,,2e3,83333.33333333333,,,,
MO021,Confederate,1e3,,,,83333.33333333333,,,,,,,,,,,
MO021,US,800,,,,833.3333333333334,,,,,,,,,,,
MO022,Confederate,50,,,,8.333333333333334,,,,,,,,,,,
MO022,US,400,,,,833.3333333333334,,,,,,800,833.3333333333334,,,,
MO023,Confederate,,,,,,,,,,,,,,,,
MO023,US,,,,,,,,,,,,,,,,
MO024,Confederate,,,,,,,,,,,,,,,,
MO024,US,,,,,,,,,,,,,,,,
MO025,Confederate,140,,,,8.333333333333334,,,,,,,,,,,
MO025,US,,,,,,,,,,,,,,,,
MO026,Confederate,,,,,,,,,,,,,,,,
MO026,US,,,,,,,,,,,,,,,,
MO027,Confederate,1500,,,,833.3333333333334,,,,,,,,,,,
MO027,US,1500,,,,833.3333333333334,,,,,,,,,,,
MO028,Confederate,,,,,,,,,,,,,,,,
MO028,US,,,,,,,,,,,,,,,,
MO029,Confederate,24,,,,0.08333333333333333,,,,,,,,,,,
MO029,US,26,,,,0.08333333333333333,,,,,,,,,,,
MS001,Confederate,594,,,,0.08333333333333333,,,,,,3200,833.3333333333334,,,,
MS001,US,790,,,,8.333333333333334,,,,,,4e3,83333.33333333333,,,,
MS002,Confederate,4800,,,,833.3333333333334,,,,,,22e3,83333.33333333333,,,,
MS002,US,2350,,,,8.333333333333334,,,,,,23e3,83333.33333333333,,,,
MS003,Confederate,187,,,,0.08333333333333333,,,,,,,,,,,
MS003,US,1776,,,,0.08333333333333333,,,,,,,,,,,
MS004,Confederate,,,,,,,,,,,,,,,,
MS004,US,80,,,,8.333333333333334,,,,,,,,,,,
MS005,Confederate,,,,,,,,,,,,,,,,
MS005,US,,,,,,,,,,,,,,,,
MS006,Confederate,787,,,,0.08333333333333333,,,,,,,,,,,
MS006,US,875,,,,0.08333333333333333,,,,,,,,,,,
MS007,Confederate,514,,,,0.08333333333333333,,,,,,,,,,,
MS007,US,442,,,,0.08333333333333333,,,,,,,,,,,
MS008,Confederate,850,,,,8.333333333333334,,,,,,,,,,,
MS008,US,286,,,,0.08333333333333333,,,,,,,,,,,
MS009,Confederate,3840,,,,8.333333333333334,,,,,,,,,,,
MS009,US,2441,,,,0.08333333333333333,,,,,,,,,,,
MS010,Confederate,1751,,,,0.08333333333333333,,,,,,,,,,,
MS010,US,276,,,,0.08333333333333333,,,,,,,,,,,
MS011,Confederate,32697,,,,0.08333333333333333,,,,,,,,,,,
MS011,US,4835,,,,0.08333333333333333,,,,,,,,,,,
MS012,Confederate,,,,,,,,,,,,,,,,
MS012,US,170,,,,8.333333333333334,,,,,,,,,,,
MS013,Confederate,144,,,,0.08333333333333333,,,,,,,,,,,
MS013,US,388,,,,0.08333333333333333,,,,,,7e3,83333.33333333333,,,,
MS014,Confederate,493,,,,0.08333333333333333,,,,,,2e3,83333.33333333333,,,,
MS014,US,2610,,,,8.333333333333334,,,,,,8500,833.3333333333334,,,,
MS015,Confederate,1326,,,,0.08333333333333333,,,,,,8e3,83333.33333333333,,,,
MS015,US,647,,,,0.08333333333333333,,,,,,14e3,83333.33333333333,,,,
MS016,Confederate,1e3,,,,83333.33333333333,,,,,,,,,,,
MS016,US,1e3,,,,83333.33333333333,,,,,,,,,,,
NC001,Confederate,670,,,,8.333333333333334,,,,,,900,833.3333333333334,,,,
NC001,US,3,,,,0.08333333333333333,,,,,,2e3,83333.33333333333,,,,
NC002,Confederate,2643,23,58,2562,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,81,0.16666666666666666,3e3,83333.33333333333,2585,2620,0.16666666666666666,
NC002,US,264,37,214,13,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,251,0.16666666666666666,7500,833.3333333333334,50,227,0.16666666666666666,
NC003,Confederate,609,,,,0.08333333333333333,,,,,,,,,,,
NC003,US,476,,,,0.08333333333333333,,,,,,,,,,,
NC004,Confederate,439,,,,0.08333333333333333,,,,,,,,,,,
NC004,US,3,,,,0.08333333333333333,,,,,,,,,,,
NC005,Confederate,25,,,,0.08333333333333333,,,,,,,,,,,
NC005,US,114,,,,0.08333333333333333,,,,,,,,,,,
