"cwsac_id","dbpedia_uri","wikipedia_title","relation"
"SC010","http://dbpedia.org/resource/Battle_of_Honey_Hill","Battle_of_Honey_Hill","="
"SC011","http://dbpedia.org/resource/Battle_of_Rivers'_Bridge","Battle_of_Rivers'_Bridge","="
"TN001","http://dbpedia.org/resource/Battle_of_Fort_Henry","Battle_of_Fort_Henry","="
"TN002","http://dbpedia.org/resource/Battle_of_Fort_Donelson","Battle_of_Fort_Donelson","="
"TN003","http://dbpedia.org/resource/Battle_of_Shiloh","Battle_of_Shiloh","="
"TN004","http://dbpedia.org/resource/Battle_of_Memphis","Battle_of_Memphis","="
"TN005","http://dbpedia.org/resource/First_Battle_of_Chattanooga","First_Battle_of_Chattanooga","="
"TN006","http://dbpedia.org/resource/First_Battle_of_Murfreesboro","First_Battle_of_Murfreesboro","="
"TN007","http://dbpedia.org/resource/Battle_of_Hatchie's_Bridge","Battle_of_Hatchie's_Bridge","="
"TN008","http://dbpedia.org/resource/Battle_of_Hartsville","Battle_of_Hartsville","="
"TN009","http://dbpedia.org/resource/Battle_of_Jackson,_Tennessee","Battle_of_Jackson,_Tennessee","="
"TN010","http://dbpedia.org/resource/Battle_of_Stones_River","Battle_of_Stones_River","="
"TN011","http://dbpedia.org/resource/Battle_of_Parker's_Cross_Roads","Battle_of_Parker's_Cross_Roads","="
"TN012","http://dbpedia.org/resource/Battle_of_Dover_(1863)","Battle_of_Dover_(1863)","="
"TN013","http://dbpedia.org/resource/Battle_of_Thompson's_Station","Battle_of_Thompson's_Station","="
"TN014","http://dbpedia.org/resource/Battle_of_Vaught's_Hill","Battle_of_Vaught's_Hill","="
"TN015","http://dbpedia.org/resource/Battle_of_Brentwood","Battle_of_Brentwood","="
"TN016","http://dbpedia.org/resource/Battle_of_Franklin_(1863)","Battle_of_Franklin_(1863)","="
"TN017","http://dbpedia.org/resource/Battle_of_Hoover's_Gap","Battle_of_Hoover's_Gap","="
"TN018","http://dbpedia.org/resource/Second_Battle_of_Chattanooga","Second_Battle_of_Chattanooga","="
"TN019","http://dbpedia.org/resource/Battle_of_Blountville","Battle_of_Blountville","="
"TN020","http://dbpedia.org/resource/Battle_of_Blue_Springs","Battle_of_Blue_Springs","="
"TN021","http://dbpedia.org/resource/Battle_of_Wauhatchie","Battle_of_Wauhatchie","="
"TN022","http://dbpedia.org/resource/Battle_of_Collierville","Battle_of_Collierville","="
"TN023","http://dbpedia.org/resource/Battle_of_Campbell's_Station","Battle_of_Campbell's_Station","="
"TN024","http://dbpedia.org/resource/Chattanooga_Campaign","Chattanooga_Campaign","="
"TN024","http://dbpedia.org/resource/Battle_of_Lookout_Mountain","Battle_of_Lookout_Mountain",">"
"TN024","http://dbpedia.org/resource/Battle_of_Missionary_Ridge","Battle_of_Missionary_Ridge",">"
"TN025","http://dbpedia.org/resource/Battle_of_Fort_Sanders","Battle_of_Fort_Sanders","="
"TN026","http://dbpedia.org/resource/Battle_of_Bean's_Station","Battle_of_Bean's_Station","="
"TN027","http://dbpedia.org/resource/Battle_of_Mossy_Creek","Battle_of_Mossy_Creek","="
"TN028","http://dbpedia.org/resource/Battle_of_Dandridge","Battle_of_Dandridge","="
"TN029","http://dbpedia.org/resource/Battle_of_Fair_Garden","Battle_of_Fair_Garden","="
"TN030","http://dbpedia.org/resource/Battle_of_Fort_Pillow","Battle_of_Fort_Pillow","="
"TN031","http://dbpedia.org/resource/Second_Battle_of_Memphis","Second_Battle_of_Memphis","="
"TN032","http://dbpedia.org/resource/Battle_of_Johnsonville","Battle_of_Johnsonville","="
"TN033","http://dbpedia.org/resource/Battle_of_Bull's_Gap","Battle_of_Bull's_Gap","="
"TN034","http://dbpedia.org/resource/Battle_of_Columbia","Battle_of_Columbia","="
"TN035","http://dbpedia.org/resource/Battle_of_Spring_Hill","Battle_of_Spring_Hill","="
"TN036","http://dbpedia.org/resource/Battle_of_Franklin_(1864)","Battle_of_Franklin_(1864)","="
"TN037","http://dbpedia.org/resource/Third_Battle_of_Murfreesboro","Third_Battle_of_Murfreesboro","="
"TN038","http://dbpedia.org/resource/Battle_of_Nashville","Battle_of_Nashville","="
"TX001","http://dbpedia.org/resource/First_Battle_of_Sabine_Pass","First_Battle_of_Sabine_Pass","="
"TX002","http://dbpedia.org/resource/Battle_of_Galveston_Harbor_(1862)","Battle_of_Galveston_Harbor_(1862)","="
"TX003","http://dbpedia.org/resource/Battle_of_Galveston","Battle_of_Galveston","="
"TX005","http://dbpedia.org/resource/Battle_of_Palmito_Ranch","Battle_of_Palmito_Ranch","="
"TX006","http://dbpedia.org/resource/Second_Battle_of_Sabine_Pass","Second_Battle_of_Sabine_Pass","="
"VA001","http://dbpedia.org/resource/Battle_of_Sewell's_Point","Battle_of_Sewell's_Point","="
"VA002","http://dbpedia.org/resource/Battle_of_Aquia_Creek","Battle_of_Aquia_Creek","="
"VA003","http://dbpedia.org/resource/Battle_of_Big_Bethel","Battle_of_Big_Bethel","="
"VA004","http://dbpedia.org/resource/Battle_of_Blackburn's_Ford","Battle_of_Blackburn's_Ford","="
"VA005","http://dbpedia.org/resource/First_Battle_of_Bull_Run","First_Battle_of_Bull_Run","="
"VA006","http://dbpedia.org/resource/Battle_of_Ball's_Bluff","Battle_of_Ball's_Bluff","="
"VA007","http://dbpedia.org/resource/Battle_of_Dranesville","Battle_of_Dranesville","="
"VA008","http://dbpedia.org/resource/Battle_of_Hampton_Roads","Battle_of_Hampton_Roads","="
"VA009","http://dbpedia.org/resource/Siege_of_Yorktown_(1862)","Siege_of_Yorktown_(1862)","="
"VA010","http://dbpedia.org/resource/Battle_of_Williamsburg","Battle_of_Williamsburg","="
"VA011","http://dbpedia.org/resource/Battle_of_Eltham's_Landing","Battle_of_Eltham's_Landing","="
"VA012","http://dbpedia.org/resource/Battle_of_Drewry's_Bluff","Battle_of_Drewry's_Bluff","="
"VA013","http://dbpedia.org/resource/Battle_of_Hanover_Court_House","Battle_of_Hanover_Court_House","="
"VA014","http://dbpedia.org/resource/Battle_of_Seven_Pines","Battle_of_Seven_Pines","="
"VA015","http://dbpedia.org/resource/Battle_of_Oak_Grove","Battle_of_Oak_Grove","="
