slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
Maryland/1862-09-16-1862-09-17-battle-of-antietam-sharpsburg,Maryland,1862-09-16,1862-09-17,"Battle of Antietam, Sharpsburg","CONNECTICUT--8th, 11th, 14th and 16th Infantry. DELAWARE--1st, 2nd and 3rd Infantry. DISTRICT OF COLUMBIA--2nd Infantry. ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""), 7th, 14th, 19th and 27th, Infantry. KENTUCKY--Simmond's Battery Light Artillery MAINE--1st Cavalry; 4th and 6th Batteries Light Artillery; 2nd, 5th, 6th, 7th, 10th, 16th and 20th Infantry. MARYLAND--Battery ""A"", Light Artillery; 2nd, 3rd and 5th Infantry; Purnell Legion Infantry. MASSACHUSETTS--1st Cavalry; 1st, 3rd and 8th Batteries Light Artillery; 1st and 2nd Companies Sharpshooters; 2nd, 7th, 9th, 12th, 13th, 15th, 18th, 19th, 20th, 21st, 22nd, 28th, 29th, 32nd and 35th Infantry. MICHIGAN--Brady's Sharpshooters; 1st, 4th, 7th, 8th, 16th and 17th Infantry. MINNESOTA--1st Infantry. NEW HAMPSHIRE--1st Battery Light Artillery; 5th 6th and 9th Infantry. NEW YORK--1st (Lincoln), 6th (Cos. ""D"", ""K"") and 8th Cavalry; Batteries ""B"", ""G"" and ""L"", 1st Light Artillery; Batteries ""A"", ""B"", ""C"" and ""D"", 1st Battalion Light Artillery; 1st, 3rd and 5th Independent Batteries Light Artillery; 4th, 5th, 7th, 9th, 10th, 12th, 13th, 16th, 18th, 20th, 21st, 22nd, 23rd, 24th, 25th, 26th, 27th, 28th, 30th, 31st, 32nd, 33rd, 34th, 35th, 42nd, 43rd, 44th, 46th, 49th, 51st, 52nd, 57th, 59th, 60th, 61st, 62nd, 63rd, 64th, 65th, 66th, 67th, 69th, 76th, 77th, 78th, 79th, 80th, 82nd, 83rd, 84th, 88th, 89th, 93rd, 94th, 95th, 97th, 102nd, 103rd, 104th, 105th, 107th, 108th and 122nd Infantry. NEW JERSEY--Battery ""A"", Light Artillery; 1st, 2nd, 3rd, 4th and 13th Infantry. OHIO--3rd Independent Cavalry Company; 1st Independent Battery Light Artillery; 4th, 5th, 7th, 8th, 11th, 12th, 23rd, 28th, 30th, 36th and 66th Infantry. PENNSYLVANIA--1st, 2nd, 3rd, 4th, 6th, 8th and 15th Cavalry; Batteries ""A"", ""B"" and ""F"", 1st Light Artillery; Independent Batteries ""C"", ""D"", ""E"" and ""F"", Light Artillery; 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th and 13th Reserves Infantry; 11th, 23rd, 28th, 45th, 46th, 48th, 49th, 50th, 51st, 53rd, 56th, 61st, 69th, 71st, 72nd, 81st, 82nd, 83rd, 88th, 90th, 95th, 96th, 100th, 102nd, 106th, 107th, 111th, 114th, 118th, 124th, 125th, 128th, 130th, 132nd, 139th and 147th Infantry. RHODE ISLAND--""A"", ""B"", ""C"", ""D"" and ""G"", 1st Light Artillery; 2nd and 4th Infantry. VERMONT--2nd, 3rd, 4th, 5th and 6th Infantry. WEST VIRGINIA--Gillmore's and Harrison's Cavalry Companies; 7th Infantry. WISCONSIN--2nd, 3rd, 5th, 6th and 7th Infantry. UNITED STATES--5th and 6th Cavalry; Batteries ""E"", ""I"" and ""K"", 1st Artillery; ""A"", ""B"" and ""L""; ""C"", ""D"", ""E"" and ""M"", 2nd, Artillery; ""C"", ""G"" and ""L"" and ""M"", 3rd Artillery; ""A"", ""B"", ""C"", ""E"", ""F"" and ""G"", 4th Artillery; ""A"", ""C"", ""D"", ""F"", ""I"" and ""K"", 5th Artillery; 1st Engineers; 1st and 2nd Sharpshooters; 2nd, 4th, 10th, 11th, 12th and 14th Infantry. Union loss, 2,108 killed, 9,549 wounded, 753 missing. Total, 12,410.",Battle,12410,11657,2108,9549,753
Maryland/1862-09-19-action-sharpsburg-shepherdstown-and-blackford-s-ford-or-botler-s-ford-and-williamsport-potomac-river,Maryland,1862-09-19,1862-09-19,"Action. Sharpsburg, Shepherdstown and Blackford's Ford, or Botler's Ford and Williamsport, Potomac River","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). MAINE--2nd and 20th Infantry. MASSACHUSETTS--1st Cavalry; 3rd Battery Light Artillery; 2nd Company Sharpshooters; 9th, 18th, 22nd and 32nd Infantry. MICHIGAN--1st, 4th and 16th Infantry. NEW YORK--1st (Lincoln) Cavalry; 12th, 13th, 14th, 17th, 25th and 44th Infantry. PENNSYLVANIA--3rd, 4th, 6th and 8th Cavalry; 62nd, 83rd and 116th Infantry. RHODE ISLAND--Battery ""C"", 1st Light Artillery DISTRICT OF COLUMBIA--2nd Infantry. UNITED STATES--5th and 6th Cavalry; Batteries ""E"", 1st Artillery; ""A"", ""B"" and ""L"" and ""M"", 2nd, Artillery; ""C"" and ""G"", 3rd Artillery; ""G"", 4th Artillery; ""D"", ""I"" and ""K"", 5th Artillery; 1st Sharpshooters; 1st, 2nd, 3rd, 4th, 6th, 10th, 11th, 12th, 14th and 17th Infantry. Union loss, 71 killed, 161 wounded, 131 missing. Total, 363.",Action,363,232,71,161,131
Maryland/1862-09-19-1862-09-20-skirmishes-williamsport,Maryland,1862-09-19,1862-09-20,"Skirmishes, Williamsport","NEW YORK--67th and 122nd Infantry. PENNSYLVANIA--61st and 82nd Infantry. Union loss, 9 killed, 10 wounded, 8 missing. Total, 27.",Skirmishes,27,19,9,10,8
Maryland/1862-09-20-skirmish-hagerstown,Maryland,1862-09-20,1862-09-20,"Skirmish, Hagerstown",ILLINOIS--12th Cavalry.,Skirmish,,,,,
Maryland/1862-10-01-reconnaissance-from-sharpsburg-to-shepherdstown-and-martinsburg-w-va,Maryland,1862-10-01,1862-10-01,"Reconnaissance from Sharpsburg to Shepherdstown and Martinsburg, W. Va","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). PENNSYLVANIA--8th Cavalry (3 Cos.). UNITED STATES--Battery ""M"", 2nd Artillery Union loss, 12 wounded, 3 missing. Total, 15.",Reconnaissance,15,12,,12,3
Maryland/1862-10-04-reconnaissance-from-conrad-s-ferry,Maryland,1862-10-04,1862-10-04,Reconnaissance from Conrad's Ferry,(No Reports.),Reconnaissance,,,,,
Maryland/1862-10-09-skirmish-four-locks,Maryland,1862-10-09,1862-10-09,"Skirmish, Four Locks",PENNSYLVANIA--3rd Cavalry.,Skirmish,,,,,
Maryland/1862-10-09-1862-10-12-pursuit-of-stuart-into-pennsylvania,Maryland,1862-10-09,1862-10-12,Pursuit of Stuart into Pennsylvania,"ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). UNITED STATES--Battery ""M"", 2nd Artillery",Pursuit,,,,,
Maryland/1862-10-10-affair-fairview-heights,Maryland,1862-10-10,1862-10-10,"Affair, Fairview Heights",Capture of Signal Station.,Affair,,,,,
Maryland/1862-10-10-skirmish-mccoy-s-or-kinsell-s-ferry,Maryland,1862-10-10,1862-10-10,"Skirmish, McCoy's or Kinsell's Ferry",ILLINOIS--12th Cavalry (Detachment).,Skirmish,,,,,
