battle_id,id,cwsac_id
Battle_of_Wilson's_Creek,,MO004
Battle_of_Wilson's_Wharf,,VA056
Battle_of_Wood_Lake,,MN002
Battle_of_Wyse_Fork,,NC017
Battle_of_Yellow_Bayou,,LA023
Battle_of_Yellow_Tavern,,VA052
Battle_of_the_Crater,,VA070
Battle_of_the_Wilderness,,VA046
Bear_River_Massacre,,ID001
Big_Sandy_Expedition,693969294,KY003
Capture_of_New_Orleans,,LA002
Chattanooga_Campaign,709878232,TN024
First_Battle_of_Auburn,,VA039
First_Battle_of_Bull_Run,,VA005
First_Battle_of_Charleston_Harbor,,SC004
First_Battle_of_Chattanooga,,TN005
First_Battle_of_Dalton,,GA006
First_Battle_of_Deep_Bottom,,VA069
First_Battle_of_Donaldsonville,,LA004
First_Battle_of_Fort_Fisher,,NC014
First_Battle_of_Fort_Wagner,,SC005
First_Battle_of_Independence,,MO014
First_Battle_of_Kernstown,,VA101
First_Battle_of_Lexington,,MO006
First_Battle_of_Murfreesboro,,TN006
First_Battle_of_Newtonia,,MO016
First_Battle_of_Petersburg,,VA098
First_Battle_of_Rappahannock_Station,,VA023
First_Battle_of_Ream's_Station,,VA068
First_Battle_of_Sabine_Pass,,TX001
First_Battle_of_Springfield,,MO008
First_Battle_of_Winchester,,VA104
Lawrence_Massacre,,KS001
Manassas_Station_Operations_(Stonewall_Jackson),,VA024
Sand_Creek_massacre,,CO001
Second_Battle_of_Auburn,,VA041
Second_Battle_of_Bull_Run,,VA026
Second_Battle_of_Charleston_Harbor,,SC008
Second_Battle_of_Chattanooga,,TN018
Second_Battle_of_Corinth,710228128,MS002
Second_Battle_of_Dalton,,GA020
Second_Battle_of_Deep_Bottom,,VA071
Second_Battle_of_Donaldsonville,,LA013
Second_Battle_of_Fort_Fisher,,NC015
Second_Battle_of_Fort_Sumter,,SC009
Second_Battle_of_Fort_Wagner,,SC007
Second_Battle_of_Fredericksburg,,VA034
Second_Battle_of_Independence,,MO025
Second_Battle_of_Kernstown,,VA116
Second_Battle_of_Lexington,,MO023
Second_Battle_of_Memphis,,TN031
Second_Battle_of_Newtonia,,MO029
Second_Battle_of_Petersburg,,VA063
Second_Battle_of_Rappahannock_Station,,VA043
Second_Battle_of_Ream's_Station,,VA073
Second_Battle_of_Sabine_Pass,,TX006
Second_Battle_of_Springfield,,MO018
Second_Battle_of_Winchester,,VA107
Siege_of_Corinth,,MS016
Siege_of_Port_Hudson,,LA010
Siege_of_Suffolk,,VA031
Siege_of_Vicksburg,711554904,MS011
Siege_of_Yorktown_(1862),,VA009
Third_Battle_of_Murfreesboro,,TN037
Third_Battle_of_Petersburg,,VA089
