"belligerent","battle_name","state","killed","wounded","missing","casualties","cavalry","start_date","end_date"
"Union","Egypt Station, Miss","MS","23","88","7","118",1,"1864-12-28","1864-12-28"
"Union","Siege of Petersburg, Va","VA","66","278","269","613",0,"1864-12-1","1864-12-31"
"Union","Fort Fisher, N. C","NC","184","749","22","955",0,"1865-1-15","1865-1-15"
"Union","Siege of Petersburg, Va","VA","51","269","81","401",0,"1865-1-1","1865-1-31"
"Union","Rivers's Bridge, S. C","SC","18","70","4","92",0,"1865-2-3","1865-2-9"
"Union","Dabney's Mills, Va","VA","171","1,181","187","1,539",0,"1865-2-5","1865-2-7"
"Union","James's Island, S. C","SC","20","76","0","96",0,"1865-2-10","1865-2-10"
"Union","Sugar Loaf Battery, N. C","NC","14","114","0","128",0,"1865-2-11","1865-2-11"
"Union","Town Creek, N. C","NC","30","154","0","184",0,"1865-2-20","1865-2-20"
"Union","Siege of Petersburg, Va","VA","43","257","72","372",0,"1865-2-1","1865-2-28"
"Union","National Bridge, Fla","FL","22","46","13","81",0,"1865-3-6","1865-3-6"
"Union","Wilcox's Bridge, N. C","NC","64","319","953","1,336",0,"1865-3-8","1865-3-10"
"Union","Monroe's Cross Roads, N. C","NC","19","61","103","183",0,"1865-3-10","1865-3-10"
"Union","Averasboro, N. C","NC","93","531","54","678",0,"1865-3-16","1865-3-16"
"Union","Bentonville, N. C","NC","191","1,168","287","1,646",0,"1865-3-19","1865-3-19"
"Union","Fort Stedman, Va","VA","72","450","522","1,044",0,"1865-3-25","1865-3-25"
"Union","Petersburg, Va","VA","103","864","209","1,176",0,"1865-3-25","1865-3-25"
"Union","Gravelly Run, Va","VA","55","306","22","383",0,"1865-3-29","1865-3-29"
"Union","White Oak Road, Va","VA","177","1,134","556","1,867",0,"1865-3-31","1865-3-31"
"Union","Siege of Petersburg, Va","VA","58","272","98","428",0,"1865-3-1","1865-3-31"
"Union","Dinwiddie C. H., Va","VA","67","354","0","421",1,"1865-3-31","1865-3-31"
"Union","Five Forks, Va","VA","124","706","54","884",0,"1865-4-1","1865-4-1"
"Union","Selma, Ala","VA","42","270","7","319",1,"1865-4-2","1865-4-2"
"Union","Fall of Petersburg, Va","VA","296","2,565","500","3,361",0,"1865-4-2","1865-4-2"
"Union","Namozin Church, Va","VA","10","85","0","95",1,"1865-4-3","1865-4-3"
"Union","Amelia Springs, Va","VA","20","96","0","116",1,"1865-4-5","1865-4-5"
"Union","Sailor's Creek, Va","VA","166","1,014","0","1,180",0,"1865-4-6","1865-4-6"
"Union","Farmville, Va","VA","58","504","9","571",0,"1865-4-7","1865-4-7"
"Union","Spanish Fort, Ala","VA","100","695","0","795",0,"1865-4-8","1865-4-8"
"Union","Fort Blakely, Ala","VA","113","516","0","629",0,"1865-4-9","1865-4-9"
"Union","Columbus; West Point, Ga","GA","13","53","0","66",1,"1865-4-16","1865-4-16"
"Confederate","First Bull Run, Va","VA","387","1,582","13","1,982",0,"1861-7-21","1861-7-21"
"Confederate","Wilson's Creek, Mo","MO","265","800","30","1,095",0,"1861-8-10","1861-8-10"
"Confederate","Greenbrier River, W. Va","WV","6","33","13","52",0,"1861-10-3","1861-10-3"
"Confederate","Ball's Bluff, Va","VA","36","117","2","155",0,"1861-10-21","1861-10-21"
