combatant	starty	startm	startd	endy	endm	endd	battle_name	state	cwsac	killed	wounded	missing	casualties	cavalry
US	1864	6	22	1864	6	22	Culp's House (Atlanta Campaign)	GA	GA014	104	534	62	700	
US	1864	6	20	1864	6	30	Kenesaw Mountain (Atlanta Campaign)	GA		179	915	106	1,200	
US	1864	6	27	1864	6	27	Assault on Kenesaw (Atlanta Campaign)	GA	GA015	448	2,287	265	3,000	
US	1864	6	1	1864	6	30	Lattimore's Mill; Powder Springs, etc (Atlanta Campaign)	GA		96	480	55	631	
US	1864	7	2	1864	7	5	Nickeljack Creek (Atlanta Campaign)	GA		51	274	125	450	
US	1864	7	6	1864	7	10	Chattahoochie (Atlanta Campaign)	GA		97	517	236	850	
US	1864	7	20	1864	7	20	Peach Tree Creek (Atlanta Campaign)	GA	GA016	251	1,339	610	2,200	
US	1864	7	21	1864	7	22	Atlanta (Atlanta Campaign)	GA	GA017	480	2,556	1,164	4,200	
US	1864	7	28	1864	7	28	Ezra Chapel (Atlanta Campaign)	GA	GA018	97	517	236	850	
US	1864	7	1	1864	7	31	others (Atlanta Campaign)	GA		134	712	323	1,169	
US	1864	8	5	1864	8	6	Utoy Creek (Atlanta Campaign)	GA	GA019	112	573	115	800	
US	1864	8	1	1864	8	31	Siege of Atlanta (Atlanta Campaign)	GA	GA020 GA021	341	1,745	351	2,437	
US	1864	9	1	1864	9	1	Atlanta Campaign, Ga	GA	GA022	277	1,413	212	1,902	
US	1864	5	5	1864	5	7	Wilderness, Va	VA	VA046	2,246	12,037	3,383	17,666	
US	1864	5	8	1864	5	21	Spotsylvania, Va	VA	VA048	2,725	13,416	2,258	18,399	
US	1864	5	8	1864	5	8	Alsop's Farm (Spotsylvania)	VA	VA048	267	1,312	221	1,800	
US	1864	5	10	1864	5	10	Po River, Laurel Hill, and Upton's Charge (Spotsylvania)	VA	VA048	740	3,646	614	5,000	
US	1864	5	12	1864	5	12	"Hancock's Assault, the ""Angle"", and general attack of May 12 (Spotsylvania)"	VA	VA048	1,259	6,198	1,043	8,500	
US	1864	5	18	1864	5	18	Spotsylvania (Spotsylvania)	VA	VA048	119	583	98	800	
US	1864	5	19	1864	5	19	Fredericksburg Pike (Spotsylvania)	VA	VA048	207	1,021	172	1,400	
US	1864	5	8	1864	5	21	Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc. (Spotsylvania)	VA	VA048	133	656	110	899	
US	1864	5	6	1864	5	7	Walthall; Chester Station, Va	VA	VA047	48	256	70	374	
US	1864	5	9	1864	5	10	Arrowfield Church, Va	VA	VA051	36	188	19	243	
US	1864	5	12	1864	5	16	Drewry's Bluff, Va	VA	VA053	390	2,380	1,390	4,160	
US	1864	5	18	1864	5	20	Ware Bottom Church, Va	VA	VA054	103	796	49	948	
US	1864	5	21	1864	5	31	Bermuda Hundred, Va	VA		18	89	21	128	
US	1864	5	7	1864	5	16	Kautz's Cavalry Raid, Va	VA		14	60	31	105	1
US	1864	5	9	1864	5	10	Cloyd's Mountain, W. Va	WV	VA049	108	508	72	688	
US	1864	5	11	1864	5	11	Yellow Tavern, Va	VA	VA052	35	142	82	259	1
US	1864	5	12	1864	5	12	Meadow Bridges, Va	VA		15	128	27	170	1
US	1864	5	15	1864	5	15	Newmarket, Va	VA	VA110	93	482	256	831	
US	1864	5	18	1864	5	18	Bayou Glaize, La	LA	LA023	54	261	6	321	
US	1864	5	23	1864	5	27	North Anna, Va	VA	VA055	186	942	165	1,293	
US	1864	5	28	1864	5	31	Totopotomoy, Va	VA	VA057	101	518	52	671	
US	1864	5	25	1864	5	30	Sheridan's Cavalry, Va	VA		110	450	96	656	1
US	1864	6	1	1864	6	1	Bethesda Church, Va	VA		194	824	348	1,366	
US	1864	6	2	1864	6	4	Cold Harbor, Va	VA	VA062	1,844	9,077	1,816	12,737	
US	1864	6	1	1864	6	14	Bermuda Hundred, Va	VA		25	134	98	257	
US	1864	6	5	1864	6	5	Piedmont, Va	VA	VA111	130	650	0	780	
US	1864	6	10	1864	6	10	Brice's Cross Roads, Miss	MS	MS014	223	394	1,623	2,240	
US	1864	6	17	1864	6	18	Lynchburg, Va	VA	VA064	103	564	271	938	
US	1864	6	11	1864	6	12	Trevilian Station, Va	VA	VA099	102	470	435	1,007	1
US	1864	6	21	1864	6	21	White House, Va	VA		10	51	22	83	1
US	1864	6	24	1864	6	24	St. Mary's Church, Va	VA	VA066	29	188	122	339	1
US	1864	6	15	1864	6	19	Petersburg Assault, Va	VA	VA063	1,688	8,513	1,185	11,386	
US	1864	6	22	1864	6	22	Jerusalem Road, Va	VA	VA065	142	654	2,166	2,962	
US	1864	6	22	1864	6	29	Wilson's Raid, Va	VA	VA113 VA067  VA068	71	262	1,119	1,452	1
US	1864	6	20	1864	6	30	Petersburg Trenches, Va	VA		112	506	151	769	
US	1864	7	2	1864	7	2	Fort Johnson, S. C	SC		19	97	135	251	
US	1864	7	5	1864	7	7	John's Island, S. C	SC		16	82	12	110	
US	1864	7	9	1864	7	9	Monocacy, Md	MD	MD007	123	603	568	1,294	
US	1864	7	12	1864	7	12	Fort Stevens, D. C	DC	DC001	54	319	0	373	
US	1864	7	13	1864	7	13	Tupelo, Miss	MS	MS015	59	453	16	528	
US	1864	7	18	1864	7	18	Island Ford, Va	VA		65	301	56	422	
US	1864	7	20	1864	7	20	Carter's Farm, Va	VA	VA115	37	175	30	242	
US	1864	7	24	1864	7	24	Winchester, Va	VA	VA116	134	678	391	1,203	
US	1864	7	26	1864	7	29	Strawberry Plains, Va	VA	VA069	62	340	86	488	
US	1864	7	30	1864	7	30	Petersburg Mine, Va	VA	VA070	504	1,881	1,413	3,798	
US	1864	7	1	1864	7	31	Petersburg Trenches, Va	VA		349	1,587	145	2,081	
US	1864	8	11	1864	8	11	White Post, Va	VA		30	70	200	300	1
US	1864	8	14	1864	8	16	Deep Bottom, Va	VA	VA071	327	1,851	721	2,899	
US	1864	8	18	1864	8	20	Weldon Railroad, Va	VA	VA072	251	1,148	2,879	4,278	
US	1864	8	24	1864	8	24	Halltown, Va	VA		9	37	16	62	
US	1864	8	25	1864	8	25	Ream's Station, Va	VA	VA073	140	529	2,073	2,742	
US	1864	8	25	1864	8	25	Smithfield, Va	VA	WV015	20	61	100	181	1
US	1864	8	26	1864	8	26	Halltown, Va	VA		30	141	0	171	
US	1864	8	29	1864	8	29	Smithfield, Va	VA	WV015	10	90	0	100	
US	1864	8	1	1864	8	31	Siege of Petersburg	VA		158	623	296	1,077	
US	1864	9	3	1864	9	3	Berryville, Va	VA	VA118	30	182	100	312	
US	1864	9	19	1864	9	19	Opequon, Va	VA	VA119	697	3,983	338	5,018	
US	1864	9	22	1864	9	22	Fisher's Hill, Va	VA	VA120	52	457	19	528	
US	1864	9	26	1864	9	26	Fort Davidson, Mo	MO	MO021	28	56	100	184	1
US	1864	9	28	1864	9	28	Chaffin's Farm, Va	VA	VA075	383	2,299	645	3,327	
US	1864	9	30	1864	9	30	Poplar Spring Church, Va	VA	VA074	187	900	1,802	2,889	
US	1864	9	1	1864	9	30	Petersburg Trenches, Va	VA		74	304	424	802	
US	1864	10	2	1864	10	2	Saltville, Va	VA	VA076	54	190	104	348	1
US	1864	10	5	1864	10	5	Allatoona Pass, Ga	GA	GA023	142	352	212	706	
US	1864	10	7	1864	10	7	Darbytown Road, Va	VA	VA077	49	253	156	458	
US	1864	10	9	1864	10	9	Tom's Brook; Woodstock, Va	VA	VA121	9	67	0	76	1
US	1864	10	13	1864	10	13	Strasburg, Va	VA		30	144	40	214	1
US	1864	10	13	1864	10	13	Darbytown Road, Va	VA	VA078	36	358	43	437	
US	1864	10	19	1864	10	19	Cedar Creek, Va	VA	VA122	644	3,430	1,591	5,665	
US	1864	10	21	1864	10	21	Little Blue, Mo	MO	MO024	18	83	14	115	1
US	1864	10	22	1864	10	22	Independence, Mo	MO	MO025	14	58	11	83	1
US	1864	10	26	1864	10	26	Decatur, Ala	VA	AL004	10	45	100	155	1
US	1864	10	27	1864	10	27	Boydton Road, Va	VA	VA079	166	1,028	564	1,758	1
US	1864	10	27	1864	10	27	Darbytown Road; Fair Oaks, Va	VA	VA080	118	787	698	1,603	
US	1864	10	1	1864	10	31	Petersburg Trenches, Va	VA		159	520	633	1,312	
US	1864	11	22	1864	11	22	Rood's Hill, Va	VA		18	52	10	80	1
US	1864	11	22	1864	11	22	Griswoldville, Ga	GA	GA025	10	52	0	62	
US	1864	11	30	1864	11	30	Honey Hill, S. C	SC	SC010	91	631	26	748	
US	1864	11	30	1864	11	30	Franklin, Tenn	TN	TN036	189	1,033	1,104	2,326	
US	1864	11	1	1864	11	30	Siege of Petersburg	VA		57	258	108	423	
US	1864	12	5	1864	12	5	Murfreesboro, Tenn	TN	TN037	30	175	0	205	
US	1864	12	6	1864	12	9	Deveaux's Neck, S. C	SC		39	390	200	629	
US	1864	12	13	1864	12	13	Fort McAllister, Ga	GA	GA028	24	110	0	134	
US	1864	12	15	1864	12	16	Nashville, Tenn	TN	TN038	387	2,558	112	3,057	
US	1864	12	18	1864	12	18	Marion, Va	VA	VA081	18	58	0	76	
US	1864	12	28	1864	12	28	Egypt Station, Miss	MS		23	88	7	118	1
