comm_id,dbpedia_url,commander,last_me,middle_me,first_me
US104,http://dbpedia.org/resource/James_A._Mulligan,0c07ddc2-1874-4aa7-93f3-3d24f43d1329,Mulligan,A.,James
US105,http://dbpedia.org/resource/James_B._McPherson,fb4ade2a-549d-4707-9784-5c2d3a928df6,McPherson,B.,James
US106,http://dbpedia.org/resource/James_Pond_(Medal_of_Honor),148cb6fb-2f8b-401e-9f7e-68afdeded45c,Pond,B.,James
US107,http://dbpedia.org/resource/James_B._Steedman,ba0709f1-bf0c-44af-95c8-91c04a591cb1,Steedman,B.,James
US108,http://dbpedia.org/resource/James_G._Blunt,a3f15046-9028-421d-bbe0-fb6c341a991f,Blunt,G.,James
US109,http://dbpedia.org/resource/James_A._Garfield,44e462be-53b8-40f5-abef-2a935e33194a,Garfield,,James
US11,,b85461b7-3686-4245-9143-ccd616b6c8ed,Stickney,,Albert
US111,,cb2cf7d8-0211-4695-99a1-4e3b3515b7ca,Williams,M.,James
US112,http://dbpedia.org/resource/James_S._Negley,3082b228-4ba0-4a46-b4ea-3557f87a7f81,Negley,,James
US113,http://dbpedia.org/resource/James_B._Ricketts,d334dafe-3ba5-405b-9ed7-c77336f98d4f,Ricketts,,James
US114,http://dbpedia.org/resource/James_M._Shackelford,b8260749-dd79-4114-9406-620931238d93,Shackelford,,James
US115,http://dbpedia.org/resource/James_T._Buel,44032864-985e-41f7-bd80-86e2cbc8e556,Buel,T.,James
US116,http://dbpedia.org/resource/James_Shirk,3df24d8f-be80-4dbe-86ed-44c3189f515a,Shirk,W.,James
US117,http://dbpedia.org/resource/James_H._Wilson,460c9e8f-625e-490f-8eda-7385907b8d3f,Wilson,,James
US118,http://dbpedia.org/resource/Charles_Zagonyi,093118f7-ee3b-4de8-934d-ecc1e0a25c42,Zagonyi,,James
US119,http://dbpedia.org/resource/Jeremiah_C._Sullivan,b03c621d-4a1c-488c-b525-202cc0895161,Sullivan,C.,Jeremiah
US12,http://dbpedia.org/resource/Albin_Francisco_Schoepf,3bd4841a-fc35-4529-8d76-ed0804f965cc,Schoepf,F.,Albin
US120,http://dbpedia.org/resource/Jesse_L._Reno,a2c3c81f-a2fa-43d9-9c8b-3b896a014391,Reno,Lee,Jesse
US121,http://dbpedia.org/resource/John_Alexander_McClernd,ff3bef0a-370b-48a3-9e53-a77c9f9a5b35,McClernd,A.,John
US122,http://dbpedia.org/resource/John_C._Frémont,b6775ad7-2f56-4d49-9aee-b4e4898e8b5e,FrÌ©mont,C.,John
US123,http://dbpedia.org/resource/John_Chivington,a858e995-675f-4386-9c26-6579fa7533dc,Chivington,,John
US124,http://dbpedia.org/resource/John_Coburn_(politician),9ddb278d-82fe-4d96-af0e-0dac8c4ccf5b,Coburn,,John
US125,http://dbpedia.org/resource/John_G._Foster,f7a09726-833c-415e-acbc-7eab70718f97,Foster,G.,John
US126,http://dbpedia.org/resource/John_Parke,87cff8b4-f792-44ed-a7cc-9bc684d88994,Parke,G.,John
US127,http://dbpedia.org/resource/John_Gibbon,7426cc42-b8b1-4990-aa8c-94e3246d3c7a,Gibbon,,John
US128,http://dbpedia.org/resource/John_Porter_Hatch,3efc0e52-0b52-42bd-a564-4045d6a826ce,Hatch,,John
US129,http://dbpedia.org/resource/John_Milton_Brann,0bbf8c45-2f41-4b08-98ce-222e943adac8,Brann,M.,John
US13,http://dbpedia.org/resource/Alexander_McDowell_McCook,e3e8f37d-3ef3-4e19-a040-7659fb38a1f8,McCook,McDowell,Alexander
US130,http://dbpedia.org/resource/John_M._Corse,157b4c7c-6c0e-4aa8-9b7f-44ccb3754a88,Corse,M.,John
US131,http://dbpedia.org/resource/John_Schofield,d3b0a222-2294-41d9-96b9-bc78996d55ae,Schofield,M.,John
US132,http://dbpedia.org/resource/John_McNeil,8e1fc583-1c34-4dea-9cae-48f17abfc57d,McNeil,,John
US133,http://dbpedia.org/resource/John_Newton_(engineer),3308b7a8-1e72-4092-a3fd-172ee147356f,Newton,,John
US134,http://dbpedia.org/resource/John_P._Slough,a05df089-6f23-4706-9b71-b25bcdba94c4,Slough,P.,John
US135,http://dbpedia.org/resource/John_J._Peck,b3d1ac5f-a962-46ba-ad2c-ec134ff0f846,Peck,,John
US136,http://dbpedia.org/resource/John_Pope_(military_officer),60853683-b235-4e03-abcb-68edc8339fa5,Pope,,John
US137,http://dbpedia.org/resource/John_Reese_Kenly,89baa468-4d55-4b97-a5a6-bc79bd433235,Kenly,R.,John
US139,,a39669a8-b6d8-45a2-a0d3-e2a08065f296,Scott,,John
US14,http://dbpedia.org/resource/Alfred_Terry,5128b598-2305-4d47-8406-f865aefdc4c7,Terry,H.,Alfred
US140,http://dbpedia.org/resource/John_Sedgwick,ac71cf4c-9ef5-447e-abd0-aca2b3474789,Sedgwick,,John
US141,http://dbpedia.org/resource/John_T._Wilder,9db3b656-d275-4184-880f-1c13065b3863,Wilder,T.,John
US142,http://dbpedia.org/resource/John_Davidson_(general),50a85216-8922-4d4f-93c9-e4fd108eb188,Davidson,W.,John
US143,http://dbpedia.org/resource/John_W._Foster,22bbd2ee-7810-4916-a6c4-809b42a1d889,Foster,W.,John
US145,http://dbpedia.org/resource/Joseph_A._Mower,20e1eb2c-b6ef-40fd-9762-ebbac239e67b,Mower,A.,Joseph
US146,http://dbpedia.org/resource/Joseph_D._Bullen,75f89742-e9e6-44e6-895c-c1b4d481fcab,Bullen,D.,Joseph
US147,http://dbpedia.org/resource/Joseph_Hooker,cfa9a700-f979-46ff-bfb1-4615441ccd55,Hooker,,Joseph
US148,http://dbpedia.org/resource/Joseph_J._Reynolds,6b82dedf-adbb-4bf5-967f-6ad27271de12,Reynolds,,Joseph
US149,,33c422d7-a6c5-487d-837d-65a083bc3950,Sill,W.,Joshua
US15,http://dbpedia.org/resource/Alfred_Pleasonton,90849b39-6f3a-4d88-af29-ddded5d1733a,Pleasonton,,Alfred
US150,http://dbpedia.org/resource/Lew_Wallace,2a86c08b-654e-47fd-a1a4-3c79cedcbceb,Wallace,,Lew
US151,http://dbpedia.org/resource/Lewis_Jordan,76fc26fd-73d5-4139-8ca3-78c66fd9f947,Jordan,,Lewis
