"battle","belligerent","commander_number","PersonID","last_name","first_name","middle_name","middle_initial","rank","navy"
"MO027","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MO028","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MO029","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MS001","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MS002","Confederate",1,"a68145ec-a562-494d-8e95-c9bd2e0ff473","Van Dorn","Earl","","","Major General",0
"MS003","Confederate",1,"03c2a063-2c1f-4006-9be2-08bcb50ee9ea","Pemberton","John","Clifford","C.","Lieutenant General",0
"MS004","Confederate",1,"121a2f46-8937-472b-aca1-7a6afd0d8f57","Bowen","John","Stevens","S.","Brigadier General",0
"MS005","Confederate",1,"68d8b0eb-8e55-447d-a5cf-a8cc6832b0ec","Hebert","Louis","","","Brigadier General",0
"MS006","Confederate",1,"121a2f46-8937-472b-aca1-7a6afd0d8f57","Bowen","John","Stevens","S.","Brigadier General",0
"MS007","Confederate",1,"55cf9433-a8d5-4665-96cc-3f8dd99995ef","Gregg","John","","","Brigadier General",0
"MS008","Confederate",1,"b0f7a304-f6c5-4a8d-b816-066426e5dc1c","Johnston","Joseph","","E.","General",0
"MS008","Confederate",2,"55cf9433-a8d5-4665-96cc-3f8dd99995ef","Gregg","John","","","Brigadier General",0
"MS009","Confederate",1,"03c2a063-2c1f-4006-9be2-08bcb50ee9ea","Pemberton","John","Clifford","C.","Lieutenant General",0
"MS010","Confederate",1,"121a2f46-8937-472b-aca1-7a6afd0d8f57","Bowen","John","Stevens","S.","Brigadier General",0
"MS011","Confederate",1,"03c2a063-2c1f-4006-9be2-08bcb50ee9ea","Pemberton","John","Clifford","C.","Lieutenant General",0
"MS012","Confederate",1,"e71bce51-e400-4ab2-a3a4-4fec249ca448","Polk","Leonidas","","","Lieutenant General",0
"MS013","Confederate",1,"02b4fa9a-541a-45c7-9097-ab1aee538c6c","Forrest","Nathan","Bedford","B.","Major General",0
"MS014","Confederate",1,"02b4fa9a-541a-45c7-9097-ab1aee538c6c","Forrest","Nathan","Bedford","B.","Major General",0
"MS015","Confederate",1,"8f59c204-3c38-4233-8ff0-3b70562303ca","Lee","Stephen","Dill","D.","Lieutenant General",0
"MS015","Confederate",2,"02b4fa9a-541a-45c7-9097-ab1aee538c6c","Forrest","Nathan","Bedford","B.","Major General",0
"MS016","Confederate",1,"183d0a7d-f06a-4c7b-a575-7616e491618b","Beauregard","Pierre","Gustave Toutant","G. T.","General",0
"NC001","Confederate",1,"1c8ec84f-b650-4d45-8048-57f6312808ee","Martin","William","","F.","Colonel",0
"NC002","Confederate",1,"2f7d8b0b-710b-4f79-b13e-2cf4b9844059","Wise","Henry","Alexander","A.","Brigadier General",0
"NC003","Confederate",1,"31a0d649-84f2-4b86-a4aa-155dd8a544fe","Branch","Lawrence","O'Bryan","O.","Brigadier General",0
"NC004","Confederate",1,"1c40dc50-3137-4c42-bea0-c40403c7a212","White","Moses","","J.","Lieutenant Colonel",0
"NC005","Confederate",1,"d0779979-1010-4b55-abe4-24977d8cb5f3","Wright","Ambrose","Ransom","R.","Colonel",0
"NC006","Confederate",1,"ec859f80-4b41-4461-82d4-f477340eb6d9","Singletary","George","","B.","Colonel",0
"NC007","Confederate",1,"6bce5d35-7ced-46f5-8786-31eb932c1354","Evans","Nathan","George","G.","Brigadier General",0
"NC008","Confederate",1,"06b8daf9-11b4-4e8b-9af4-8adaaa9b1d9c","Robertson","Beverly","Holcombe","H.","Brigadier General",0
"NC009","Confederate",1,"e1407be2-ad06-4d63-86d3-b11e74c69aa8","Clingman","Thomas","Lanier","L.","Brigadier General",0
"NC010","Confederate",1,"0b57b2da-99cd-48b9-8cbd-b843cd7ca04f","Hill","Daniel","Harvey","H.","Major General",0
"NC011","Confederate",1,"0b57b2da-99cd-48b9-8cbd-b843cd7ca04f","Hill","Daniel","Harvey","H.","Major General",0
"NC012","Confederate",1,"6650b484-9515-4e17-bafe-7110fbbf68e2","Hoke","Robert","Frederick","F.","Major General",0
"NC013","Confederate",1,"929deb8f-7e95-4b9d-a2aa-0ee2b061ecfb","Cooke","James","Wallace","W.","Commander",1
"NC014","Confederate",1,"6650b484-9515-4e17-bafe-7110fbbf68e2","Hoke","Robert","Frederick","F.","Major General",0
"NC015","Confederate",1,"4b5a15e5-6c5d-492c-9ab7-32d50419cf80","Bragg","Braxton","","","General",0
"NC015","Confederate",2,"6650b484-9515-4e17-bafe-7110fbbf68e2","Hoke","Robert","Frederick","F.","Major General",0
"NC015","Confederate",3,"95b3e009-6f58-43ad-aed1-baf83100fbbd","Lamb","Charles","","","Colonel",0
"NC016","Confederate",1,"4b5a15e5-6c5d-492c-9ab7-32d50419cf80","Bragg","Braxton","","","General",0
"NC017","Confederate",1,"4b5a15e5-6c5d-492c-9ab7-32d50419cf80","Bragg","Braxton","","","General",0
"NC018","Confederate",1,"22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7","Wheeler","Joseph","","","Major General",0
"NC018","Confederate",2,"0db13c2e-98a9-4187-be39-484c4d272d30","Hampton","Wade","","","Lieutenant General",0
"NC019","Confederate",1,"b01714aa-b252-4944-816d-be76a9070175","Hardee","William","Joseph","J.","Lieutenant General",0
