,X,uri,fuzzy_name
325,1246,,51st Georgia Volunteer Infantry
490,1945,http://dbpedia.org/resource/5th_Kansas_Militia_Infantry_Regiment,5th Kansas Militia Infantry Regiment
452,1776,http://dbpedia.org/resource/5th_Maine_Battery,5th Maine Battery
505,2023,http://dbpedia.org/resource/5th_Regiment_Kansas_Volunteer_Infantry,5th Regiment Kansas Volunteer Infantry
183,674,,5th Regiment Kentucky Volunteer Infantry
164,618,http://dbpedia.org/resource/5th_Rhode_Island_Infantry,5th Rhode Island Infantry
370,1423,"http://dbpedia.org/resource/5th_U.S._Light_Artillery,_Battery_H","5th U.S. Light Artillery, Battery H"
576,2312,,60th Regiment Massachusetts Volunteer Infantry
177,660,,60th Virginia Infantry
148,571,,61st Georgia Volunteer Infantry
397,1552,,61st Virginia Infantry
429,1681,,62nd Indiana Infantry Regiment
338,1289,http://dbpedia.org/resource/69th_Infantry_Regiment_(United_States),69th Infantry Regiment (United States)
255,955,http://dbpedia.org/resource/6th_Arkansas_Field_Battery,6th Arkansas Field Battery
290,1092,http://dbpedia.org/resource/6th_Kansas_Militia_Infantry_Regiment,6th Kansas Militia Infantry Regiment
162,611,http://dbpedia.org/resource/6th_Maine_Battery,6th Maine Battery
241,889,,6th Michigan Volunteer Infantry Regiment
346,1333,,6th Pennsylvania Cavalry
141,519,,6th Pennsylvania Heavy Artillery
411,1594,,6th Regiment Kentucky Volunteer Infantry
242,897,http://dbpedia.org/resource/7th_Kansas_Militia_Infantry_Regiment,7th Kansas Militia Infantry Regiment
419,1629,http://dbpedia.org/resource/7th_Maine_Battery,7th Maine Battery
62,238,,7th Pennsylvania Cavalry
565,2294,,7th Regiment Kentucky Volunteer Infantry
459,1802,"http://dbpedia.org/resource/7th_Squadron,_Rhode_Island_Cavalry","7th Squadron, Rhode Island Cavalry"
542,2185,,7th Virginia Cavalry
445,1762,http://dbpedia.org/resource/8th_Kansas_Militia_Infantry_Regiment,8th Kansas Militia Infantry Regiment
394,1527,http://dbpedia.org/resource/8th_Louisiana_Regiment_Infantry_(African_Descent),8th Louisiana Regiment Infantry (African Descent)
129,478,,8th Regiment Kentucky Volunteer Infantry
252,947,,92nd Indiana Infantry Regiment
75,309,,94th Indiana Infantry Regiment
189,708,,95th Indiana Infantry Regiment
353,1370,http://dbpedia.org/resource/9th_Arkansas_Field_Battery,9th Arkansas Field Battery
440,1744,,9th Illinois Volunteer Mounted Infantry Regiment
341,1305,http://dbpedia.org/resource/9th_Kansas_Militia_Infantry_Regiment,9th Kansas Militia Infantry Regiment
575,2307,http://dbpedia.org/resource/9th_Louisiana_Regiment_Infantry_(African_Descent),9th Louisiana Regiment Infantry (African Descent)
91,353,,9th Pennsylvania Cavalry
4,12,,9th Regiment Kentucky Volunteer Infantry
285,1065,http://dbpedia.org/resource/9th_Virginia_Cavalry,9th Virginia Cavalry
315,1188,http://dbpedia.org/resource/A._P._Hill's_Light_Division,A. P. Hill's Light Division
348,1342,http://dbpedia.org/resource/Abel_Streight,Abel Streight
155,599,http://dbpedia.org/resource/Adoniram_J._Warner,Adoniram J. Warner
350,1346,http://dbpedia.org/resource/Aldace_F._Walker,Aldace F. Walker
438,1732,http://dbpedia.org/resource/Alexander_Hart,Alexander Hart
131,481,http://dbpedia.org/resource/Alexander_S._Webb,Alexander S. Webb
136,492,http://dbpedia.org/resource/Alfred_M._Wood,Alfred M. Wood
165,619,http://dbpedia.org/resource/American_Civil_War_Corps_Badges,American Civil War Corps Badges
68,281,http://dbpedia.org/resource/Anderson_Troop,Anderson Troop
66,265,http://dbpedia.org/resource/Andrew_J._Grigsby,Andrew J. Grigsby
101,396,http://dbpedia.org/resource/Army_of_Arkansas,Army of Arkansas
295,1119,http://dbpedia.org/resource/Army_of_Central_Kentucky,Army of Central Kentucky
463,1833,http://dbpedia.org/resource/Army_of_Georgia,Army of Georgia
352,1356,http://dbpedia.org/resource/Army_of_Mississippi,Army of Mississippi
523,2098,http://dbpedia.org/resource/Army_of_Missouri,Army of Missouri
143,531,http://dbpedia.org/resource/Army_of_New_Mexico,Army of New Mexico
192,722,http://dbpedia.org/resource/Army_of_Northern_Virginia,Army of Northern Virginia
277,1039,http://dbpedia.org/resource/Army_of_Tennessee,Army of Tennessee
556,2255,http://dbpedia.org/resource/Army_of_the_Border,Army of the Border
50,190,http://dbpedia.org/resource/Army_of_the_Cumberland,Army of the Cumberland
318,1216,http://dbpedia.org/resource/Army_of_the_Frontier,Army of the Frontier
270,1007,http://dbpedia.org/resource/Army_of_the_Gulf,Army of the Gulf
426,1665,http://dbpedia.org/resource/Army_of_the_James,Army of the James
