BattlefieldCode,belligerent,commander_number,commander
MO006,US,1,0c07ddc2-1874-4aa7-93f3-3d24f43d1329
MO007,Confederate,1,345c79c0-2a20-49cb-9e6c-1717bbf74b49
MO007,US,1,4d4f0629-ef04-4744-a2fa-f1de813a61ab
MO007,US,2,37745fc4-ddf2-4759-9671-10a574d5c1ea
MO008,Confederate,1,9e763ac1-7568-4cd7-a187-339f404fea4a
MO008,US,1,093118f7-ee3b-4de8-934d-ecc1e0a25c42
MO009,Confederate,1,c97e392a-d319-4c82-9201-0a35f418a0a9
MO009,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475
MO011,Confederate,1,1d6e2f15-0896-413c-ab38-91b165a3329d
MO011,US,1,76ecfdbb-1025-42e8-991a-d2cf919dea81
MO013,Confederate,1,0d613f5d-3504-48ea-ab91-8e807307e7f9
MO013,US,1,8e1fc583-1c34-4dea-9cae-48f17abfc57d
MO014,Confederate,1,645cd124-638f-4d9a-a47c-ff23d8cb9375
MO014,US,1,44032864-985e-41f7-bd80-86e2cbc8e556
MO014,Confederate,2,716a36b9-d4d4-4925-b23c-8306d9c01a57
MO015,Confederate,1,230d1f45-4ece-43b2-a42f-4a7eef043702
MO015,US,1,a99716d1-c687-4fba-8f73-349afa52b172
MO015,Confederate,2,716a36b9-d4d4-4925-b23c-8306d9c01a57
MO015,Confederate,3,34987df9-c3da-4e66-a7ef-39d982ac4290
MO016,Confederate,1,0585679d-c4d3-46b9-a774-1c06c6d7f9e9
MO016,US,1,26b43e08-a277-4e9d-a1b0-6238f766f791
MO017,Confederate,1,7aa288ec-f00b-41a0-af8c-447d625390bb
MO017,US,1,03876c23-d7f9-43bc-89e9-fa3047d7c586
MO017,Confederate,2,d0448aad-c7ec-418b-ad15-845e7ada97b3
MO018,Confederate,1,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0
MO018,US,1,d8150818-7ad3-4c26-a65e-8441ad5028e6
MO019,Confederate,1,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0
MO019,US,1,f204fb08-f45f-499a-b776-1e9c11759118
MO020,Confederate,1,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0
MO020,US,1,8e1fc583-1c34-4dea-9cae-48f17abfc57d
MO021,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
MO021,US,1,aa1614b8-da23-4624-a541-822e2a02f462
MO023,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
MO023,US,1,a3f15046-9028-421d-bbe0-fb6c341a991f
MO024,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
