battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
PA002,CS,,,,,,,,,,,,,,,,,,,,,,
NC004,US,,,,,,,,,,,,,,,,,,,,,,
NC004,CS,,,,,,,,,,,,,,,,,,,,,,
AR001,US,,,,,,,,,,,,,,,,,,,,,,
AR001,CS,,,,,,,,,,,,,,,,,,,,,,
GA025,US,,,,,,,,,,,,,,,,,,,,,,
GA025,CS,,,,,,,,,,,,,,,,,,,,,,
ND005,I,,,,,,,,,,,,,,,,,,,,,,
ND005,US,,,,,,,,,,,,,,,,,,,,,,
VA043,US,,,,,,,,,,,,,,,,,,,,,,
VA043,CS,,,,,,,,,,,,,,,,,,,,,,
FL001,US,,,,,,,,,,,,,,,,,,,,,,
FL001,CS,,,,,,,,,,,,,,,,,,,,,,
LA007,US,,,,,,,,,,,,,,,,,,,,,,
LA007,CS,,,,,,,,,,,,,,,,,,,,,,
TN033,US,,,,,,,,,,,,,,,,,,,,,,
TN033,CS,,,,,,,,,,,,,,,,,,,,,,
MS014,US,,,,,,,,,,,,,,,,,,,,,,
MS014,CS,,,,,,,,,,,,,,,,,,,,,,
TN030,US,,,,,,,,,,,,,,,,,,,,,,
TN030,CS,,,,,,,,,,,,,,,,,,,,,,
WV001,US,,,,,,,,,,,,,,,,,,,,,,
WV001,CS,,,,,,,,,,,,,,,,,,,,,,
VA123,US,,,,,,,,,,,,,,,,,,,,,,
VA123,CS,,,,,,,,,,,,,,,,,,,,,,
MO012,US,,,,,,,,,,,,,,,,,,,,,,
MO012,CS,,,,,,,,,,,,,,,,,,,,,,
ID001,I,,,,,,,,,,,,,,,,,,,,,,
ID001,US,,,,,,,,,,,,,,,,,,,,,,
VA016,US,,,,,,,,,,,,,,,,,,,,,,
VA016,CS,,,,,,,,,,,,,,,,,,,,,,
MO028,US,,,,,,,,,,,,,,,,,,,,,,
MO028,CS,,,,,,,,,,,,,,,,,,,,,,
AR007,US,,,,,,,,,,,,,,,,,,,,,,
AR007,CS,,,,,,,,,,,,,,,,,,,,,,
WV010,US,,,,,,,,,,,,,,,,,,,,,,
WV010,CS,,,,,,,,,,,,,,,,,,,,,,
VA081,US,,,,,,,,,,,,,,,,,,,,,,
VA081,CS,,,,,,,,,,,,,,,,,,,,,,
VA093,US,,,,,,,,,,,,,,,,,,,,,,
VA093,CS,,,,,,,,,,,,,,,,,,,,,,
DC001,US,,,,,,,,,,,,,,,,,,,,,,
DC001,CS,,,,,,,,,,,,,,,,,,,,,,
VA001,US,,,,,,,,,,,,,,,,,,,,,,
VA001,CS,,,,,,,,,,,,,,,,,,,,,,
TN017,US,,,,,,,,,,,,,,,,,,,,,,
TN017,CS,,,,,,,,,,,,,,,,,,,,,,
VA029,US,,,,,,,,,,,,,,,,,,,,,,
VA029,CS,,,,,,,,,,,,,,,,,,,,,,
NC007,US,,,,,,,,,,,,,,,,,,,,,,
NC007,CS,,,,,,,,,,,,,,,,,,,,,,
OK005,US,,,,,,,,,,,,,,,,,,,,,,
OK005,CS,,,,,,,,,,,,,,,,,,,,,,
VA053,US,,,,,,,,,,,,,,,,,,,,,,
VA053,CS,,,,,,,,,,,,,,,,,,,,,,
TN013,US,,,,,,,,,,,,,,,,,,,,,,
TN013,CS,,,,,,,,,,,,,,,,,,,,,,
AR017,US,,,,,,,,,,,,,,,,,,,,,,
AR017,CS,,,,,,,,,,,,,,,,,,,,,,
AR010,US,,,,,,,,,,,,,,,,,,,,,,
AR010,CS,,,,,,,,,,,,,,,,,,,,,,
MO020,US,,,,,,,,,,,,,,,,,,,,,,
MO020,CS,,,,,,,,,,,,,,,,,,,,,,
VA022,US,,,,,,,,,,,,,,,,,,,,,,
VA022,CS,,,,,,,,,,,,,,,,,,,,,,
GA012,US,,,,,,,,,,,,,,,,,,,,,,
