battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
VA084,CS,,,,,,,,,,,,,,,,,,,,,,
VA084,US,,,,,,,,,,,,,,,,,,,,,,
VA092,CS,,,,,,,,,,,,,,,,,,,,,,
VA092,US,,,,,,,,,,,,,,,,,,,,,,
VA094,CS,,,,,,,,,,,,,,,,,,,,,,
VA094,US,,,,,,,,,,,,,,,,,,,,,,
MN002,US,,,,,,,,,,,,,,,,,,,,,,
MN002,I,,,,,,,,,,,,,,,,,,,,,,
VA090,CS,,,,,,,,,,,,,,,,,,,,,,
VA090,US,,,,,,,,,,,,,,,,,,,,,,
VA099,CS,,,,,,,,,,,,,,,,,,,,,,
VA099,US,,,,,,,,,,,,,,,,,,,,,,
VA021,CS,,,,,,,,,,,,,,,,,,,,,,
VA021,US,,,,,,,,,,,,,,,,,,,,,,
VA098,CS,,,,,,,,,,,,,,,,,,,,,,
VA098,US,,,,,,,,,,,,,,,,,,,,,,
VA059,CS,,,,,,,,,,,,,,,,,,,,,,
VA059,US,,,,,,,,,,,,,,,,,,,,,,
VA118,CS,,,,,,,,,,,,,,,,,,,,,,
VA118,US,,,,,,,,,,,,,,,,,,,,,,
VA014,CS,,,,,,,,,,,,,,,,,,,,,,
VA014,US,,,,,,,,,,,,,,,,,,,,,,
TN030,CS,,,,,,,,,,,,,,,,,,,,,,
TN030,US,,,,,,,,,,,,,,,,,,,,,,
TN035,CS,,,,,,,,,,,,,,,,,,,,,,
TN035,US,,,,,,,,,,,,,,,,,,,,,,
TN015,CS,,,,,,,,,,,,,,,,,,,,,,
TN015,US,,,,,,,,,,,,,,,,,,,,,,
NC008,CS,,,,,,,,,,,,,,,,,,,,,,
NC008,US,,,,,,,,,,,,,,,,,,,,,,
GA018,CS,,,,,,,,,,,,,,,,,,,,,,
GA018,US,,,,,,,,,,,,,,,,,,,,,,
ND003,US,,,,,,,,,,,,,,,,,,,,,,
ND003,I,,,,,,,,,,,,,,,,,,,,,,
VA106,CS,,,,,,,,,,,,,,,,,,,,,,
VA106,US,,,,,,,,,,,,,,,,,,,,,,
GA019,CS,,,,,,,,,,,,,,,,,,,,,,
GA019,US,,,,,,,,,,,,,,,,,,,,,,
VA117,CS,,,,,,,,,,,,,,,,,,,,,,
VA117,US,,,,,,,,,,,,,,,,,,,,,,
WV007,CS,,,,,,,,,,,,,,,,,,,,,,
WV007,US,,,,,,,,,,,,,,,,,,,,,,
VA040,CS,,,,,,,,,,,,,,,,,,,,,,
VA040,US,,,,,,,,,,,,,,,,,,,,,,
VA124,CS,,,,,,,,,,,,,,,,,,,,,,
VA124,US,,,,,,,,,,,,,,,,,,,,,,
MS014,CS,,,,,,,,,,,,,,,,,,,,,,
MS014,US,,,,,,,,,,,,,,,,,,,,,,
VA005,CS,,,,,,,,,,,,,,,,,,,,,,
VA005,US,,,,,,,,,,,,,,,,,,,,,,
TX005,CS,,,,,,,,,,,,,,,,,,,,,,
TX005,US,,,,,,,,,,,,,,,,,,,,,,
AR011,CS,,,,,,,,,,,,,,,,,,,,,,
AR011,US,,,,,,,,,,,,,,,,,,,,,,
WV001,CS,,,,,,,,,,,,,,,,,,,,,,
WV001,US,,,,,,,,,,,,,,,,,,,,,,
MO014,CS,,,,,,,,,,,,,,,,,,,,,,
MO014,US,,,,,,,,,,,,,,,,,,,,,,
AR003,CS,,,,,,,,,,,,,,,,,,,,,,
AR003,US,,,,,,,,,,,,,,,,,,,,,,
NC007,CS,,,,,,,,,,,,,,,,,,,,,,
NC007,US,,,,,,,,,,,,,,,,,,,,,,
VA063,CS,,,,,,,,,,,,,,,,,,,,,,
VA063,US,,,,,,,,,,,,,,,,,,,,,,
TX002,CS,,,,,,,,,,,,,,,,,,,,,,
TX002,US,,,,,,,,,,,,,,,,,,,,,,
VA018,CS,,,,,,,,,,,,,,,,,,,,,,
VA018,US,,,,,,,,,,,,,,,,,,,,,,
LA006,CS,,,,,,,,,,,,,,,,,,,,,,
LA006,US,,,,,,,,,,,,,,,,,,,,,,
NC010,CS,,,,,,,,,,,,,,,,,,,,,,
NC010,US,,,,,,,,,,,,,,,,,,,,,,
SC004,CS,,,,,,,,,,,,,,,,,,,,,,
SC004,US,,,,,,,,,,,,,,,,,,,,,,
VA050,CS,,,,,,,,,,,,,,,,,,,,,,
VA050,US,,,,,,,,,,,,,,,,,,,,,,
KY010,CS,,,,,,,,,,,,,,,,,,,,,,
KY010,US,,,,,,,,,,,,,,,,,,,,,,
VA109,CS,,,,,,,,,,,,,,,,,,,,,,
VA109,US,,,,,,,,,,,,,,,,,,,,,,
TN038,CS,,,,,,,,,,,,,,,,,,,,,,
TN038,US,,,,,,,,,,,,,,,,,,,,,,
VA049,CS,,,,,,,,,,,,,,,,,,,,,,
VA049,US,,,,,,,,,,,,,,,,,,,,,,
VA041,CS,,,,,,,,,,,,,,,,,,,,,,
VA041,US,,,,,,,,,,,,,,,,,,,,,,
AR018,CS,,,,,,,,,,,,,,,,,,,,,,
AR018,US,,,,,,,,,,,,,,,,,,,,,,
WV014,CS,,,,,,,,,,,,,,,,,,,,,,
WV014,US,,,,,,,,,,,,,,,,,,,,,,
VA074,CS,,,,,,,,,,,,,,,,,,,,,,
VA074,US,,,,,,,,,,,,,,,,,,,,,,
WV016,CS,,,,,,,,,,,,,,,,,,,,,,
WV016,US,,,,,,,,,,,,,,,,,,,,,,
TN010,CS,,,,,,,,,,,,,,,,,,,,,,
TN010,US,,,,,,,,,,,,,,,,,,,,,,
