battle,combatant,fullname,rank,first_name,last_name,middle_name,suffix
MS002,CS,Earl Van Dorn,Major General,Earl,Van Dorn,,
MS002,US,William S. Rosecrans,Major General,William,Rosecrans,S.,
MS003,CS,John C. Pemberton,Lieutenant General,John,Pemberton,C.,
MS003,US,William T. Sherman,Major General,William,Sherman,T.,
MS004,CS,John S. Bowen,Brigadier General,John,Bowen,S.,
MS004,US,David D. Porter,Rear Admiral,David,Porter,D.,
MS005,CS,Louis Hébert,Brigadier General,Louis,Hébert,,
MS005,US,William T. Sherman,Major General,William,Sherman,T.,
MS006,CS,John S. Bowen,Brigadier General,John,Bowen,S.,
MS006,US,Ulysses S. Grant,Major General,Ulysses,Grant,S.,
MS007,CS,John Gregg,Brigadier General,John,Gregg,,
MS007,US,James B. McPherson,Major General,James,McPherson,B.,
MS008,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
MS008,CS,John Gregg,Brigadier General,John,Gregg,,
MS008,US,Ulysses S. Grant,Major General,Ulysses,Grant,S.,
MS009,CS,John C. Pemberton,Lieutenant General,John,Pemberton,C.,
MS009,US,Ulysses S. Grant,Major General,Ulysses,Grant,S.,
MS010,CS,John S. Bowen,Brigadier General,John,Bowen,S.,
MS010,US,John A. McClernand,Major General,John,McClernand,A.,
MS011,CS,John C. Pemberton,Lieutenant General,John,Pemberton,C.,
MS011,US,Ulysses S. Grant,Major General,Ulysses,Grant,S.,
MS012,CS,Leonidas Polk,Lieutenant General,Leonidas,Polk,,
MS012,US,William T. Sherman,Major General,William,Sherman,T.,
MS013,CS,Nathan Bedford Forrest,Major General,Nathan,Forrest,Bedford,
MS013,US,William Sooy Smith,Brigadier General,William,Smith,Sooy,
MS014,CS,Nathan Bedford Forrest,Major General,Nathan,Forrest,Bedford,
MS014,US,Samuel D. Sturgis,Brigadier General,Samuel,Sturgis,D.,
MS015,CS,Stephen D. Lee,Lieutenant General,Stephen,Lee,D.,
MS015,CS,Nathan Bedford Forrest,Major General,Nathan,Forrest,Bedford,
MS015,US,A.J. Smith,Major General,A.J.,Smith,,
MS016,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
MS016,US,Henry W. Halleck,Major General,Henry,Halleck,W.,
NC001,CS,William F. Martin,Colonel,William,Martin,F.,
NC001,US,Benjamin Butler,Major General,Benjamin,Butler,,
NC002,CS,Henry Wise,Brigadier General,Henry,Wise,,
NC002,US,Ambrose E. Burnside,Brigadier General,Ambrose,Burnside,E.,
NC003,US,Ambrose E. Burnside,Brigadier General,Ambrose,Burnside,E.,
NC004,CS,Moses J. White,Lieutenant Colonel,Moses,White,J.,
NC004,US,John G. Parke,Brigadier General,John,Parke,G.,
NC005,CS,Ambrose Wright,Colonel,Ambrose,Wright,,
NC005,US,Jesse Lee Reno,Brigadier General,Jesse,Reno,Lee,
NC006,CS,George Singletary,Colonel,George,Singletary,,
NC006,US,F.A. Osborne,Lieutenant Colonel,F.A.,Osborne,,
NC007,CS,Nathan Evans,Brigadier General,Nathan,Evans,,
NC007,US,John G. Foster,Brigadier General,John,Foster,G.,
NC008,CS,Beverly Robertson,Brigadier General,Beverly,Robertson,,
NC008,US,John G. Foster,Brigadier General,John,Foster,G.,
NC009,CS,Thomas Clingman,Brigadier General,Thomas,Clingman,,
NC009,US,John G. Foster,Brigadier General,John,Foster,G.,
NC010,CS,D.H. Hill,Major General,D.H.,Hill,,
NC010,US,Hiram Anderson,Lieutenant Colonel,Hiram,Anderson,,
NC011,CS,D.H. Hill,Major General,D.H.,Hill,,
NC011,US,John G. Foster,Brigadier General,John,Foster,G.,
NC012,CS,Robert Hoke,Major General,Robert,Hoke,,
NC012,US,Henry W. Wessells,Colonel,Henry,Wessells,W.,
NC013,CS,J.W. Cooke,Commander,J.W.,Cooke,,
NC013,US,Melancton Smith,Captain (Naval),Melancton,Smith,,
NC014,CS,Robert Hoke,Major General,Robert,Hoke,,
NC014,US,David D. Porter,Rear Admiral,David,Porter,D.,
NC014,US,Benjamin Butler,Major General,Benjamin,Butler,,
NC015,CS,Braxton Bragg,General,Braxton,Bragg,,
NC015,CS,Robert Hoke,Major General,Robert,Hoke,,
NC015,CS,Charles Lamb,Colonel,Charles,Lamb,,
NC015,US,David D. Porter,Rear Admiral,David,Porter,D.,
NC015,US,Alfred Terry,Major General,Alfred,Terry,,
NC016,CS,Braxton Bragg,General,Braxton,Bragg,,
NC016,US,John M. Schofield,Major General,John,Schofield,M.,
NC017,CS,Braxton Bragg,General,Braxton,Bragg,,
NC017,US,John M. Schofield,Major General,John,Schofield,M.,
NC018,CS,Joseph Wheeler,Major General,Joseph,Wheeler,,
NC018,CS,Wade Hampton,Lieutenant General,Wade,Hampton,,
NC018,US,H. Judson Kilpatrick,Brigadier General,H.,Kilpatrick,Judson,
NC019,CS,William Hardee,Lieutenant General,William,Hardee,,
NC019,US,Henry Slocum,Major General,Henry,Slocum,,
NC020,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
NC020,US,William T. Sherman,Major General,William,Sherman,T.,
NC020,US,Henry Slocum,Major General,Henry,Slocum,,
