year,date,event1,event2,event3,event4,event5,event6,event7,event8,
1862,Wed 9 July,"Morgan's Raid I (Tompkinsville I, Ky.)", Forrest's Raid I,,,,,,,
1862,Thurs 10 July,"Morgan's Raid I (Lebanon, Glasgow I, Horse Cave, Ky.)  ",Forrest's Raid I,,,,,,,
1862,Fri 11 July,"Morgan's Raid I (Glasgow, Mackville, Lebanon I, Ky.) ", Forrest's Raid I,,,,,,,
1862,Sat 12 July,"Morgan's Raid I (Lebanon, Harrodsburg, Ky.)",  Forrest's Raid I,,,,,,,
1862,Sun 13 July,"Morgan's Raid I (Springfield I, Midway, Harrodsburg, Ky.) "," Forrest's Raid I (Murfreesboro I, Tenn.)",,,,,,,
1862,Mon 14 July,"Morgan's Raid I (Lawrenceburg I, Harrodsburg, Versailles I, Georgetown I, Ky.)", Forrest's Raid I,,,,,,,
1862,Tues 15 July,"Morgan's Raid I (Georgetown I, Ky.)", Forrest's Raid I,"  Yazoo River, Miss. (USS Queen of the West, Tyler, and Carondelet vs. CSS Arkansas)",,,,,,
1862,Wed 16 July,"Morgan's Raid I (Georgetown I, Ky.) Forrest's Raid I",,,,,,,,
1862,Thurs 17 July,"Morgan's Raid I (Cynthiana I, Georgetown I, Ky.) ", Forrest's Raid I,,,,,,,
1862,Fri 18 July,"Morgan's Raid I (Georgetown I, Paris, Ky.)"," Newburg, Ind.  ",Forrest's Raid I,,,,,,
1862,Sat 19 July,"Morgan's Raid I (Paris, Winchester, Ky.)", Forrest's Raid I,,,,,,,
1862,Sun 20 July,"Morgan's Raid I (Winchester, Richmond, Crab Orchard I, Ky.) ", Forrest's Raid I,,,,,,,
1862,Mon 21 July,"Morgan's Raid I (Crab Orchard, Somerset D,Ky.) "," Forrest's Raid I ended (McMinnville, Tenn.)",,,,,,,
1862,Tues 22 July,"Morgan's Raid I (Somerset n, Monticello, Ky., Sparta II, Tenn.)",,,,,,,,
1862,Wed 23 July,Morgan's Raid I,,,,,,,,
1862,Thurs 24 July,Morgan's Raid I,,,,,,,,
1862,Fri 25 July,Morgan's Raid I,,,,,,,,
1862,Sat 26 July,Morgan's Raid I,,,,,,,,
1862,Sun 27 July,Morgan's Raid I,,,,,,,,
1862,Mon 28 July,"Morgan's Raid I (Livingston, Tenn.)",,,,,,,,
1862,Tues 29 July,"Morgan's Raid I ended (Knoxville II, Tenn.)",,,,,,,,
1862,Tues 5 Aug,"Baton Rouge, La.",,,,,,,,
1862,Wed 6 Aug,"USS Essex, Sumter, Cayuga, Kineo, and Katahdin vs. CSS Arkansas, Miss. River near Baton Rouge, La.",,,,,,,,
1862,Sat 9 Aug,"Cedar Mountain, Va. (Slaughter's Mountain, Southwest Mountain, Mitchell's Station, Cedar Run)",,,,,,,,
1862,Sun 10 Aug,"Nueces River, Tex.",,,,,,,,
1862,Tues 12 Aug,"Gallatin I, Tenn.",,,,,,,,
1862,Mon 18 Aug,"Clarksville I, Tenn.",,,,,,,,
1862,Wed 20 Aug,"Brandy Station I, Va.",,,,,,,,
1862,Thurs 21 Aug,"Hartsfield, Tenn.",,,,,,,,
1862,Fri 22 Aug,"Stuart's Raid (Catlett's Station I, Rappahannock Station I, Va.)",,,,,,,,
1862,Sat 23 Aug,"Stuart's Raid (Catlett's Station I, Rappahannock Station I, Va.) "," Big Hill, Ky.",,,,,,,
1862,Tues 26 Aug,"Bull Run II, Va. commenced (Bristoe Station I, Manassas Junction I)",,,,,,,,
1862,Wed 27 Aug,"Bull Run II, Va. (Kettle Run, Cub Run,  Bull Run Bridge, Broad Run, Buckland Run)",,,,,,,,
1862,Thurs 28 Aug,"Bull Run II, Va. (Groveton, Brawner's Farm, Gainesville, Thoroughfare Gap)",,,,,,,,
1862,Fri 29 Aug,"Bull Run II, Va. (Groveton, Manassas Plains, Manassas Junction II, Gainesville, Kettle Run)",,,,,,,,
