battle,belligerent,fullname,rank,navy,first_name,last_name,middle_name,suffix
MO018,US,Egbert B. Brown,Brigadier General,0,Egbert,Brown,B.,
MO019,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
MO019,US,Samuel Merrill,Colonel,0,Samuel,Merrill,,
MO020,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
MO020,US,John McNeil,Brigadier General,0,John,McNeil,,
MO021,CS,Sterling Price,Major General,0,Sterling,Price,,
MO021,US,Thomas Ewing Jr.,Brigadier General,0,Thomas,Ewing,,Jr.
MO022,CS,John B. Clark,Brigadier General,0,John,Clark,B.,
MO022,CS,Joseph Shelby,Brigadier General,0,Joseph,Shelby,,
MO022,US,Chester Harding,Colonel,0,Chester,Harding,,
MO023,CS,Sterling Price,Major General,0,Sterling,Price,,
MO023,US,James G. Blunt,Major General,0,James,Blunt,G.,
MO024,CS,Sterling Price,Major General,0,Sterling,Price,,
MO024,US,Samuel R. Curtis,Major General,0,Samuel,Curtis,R.,
MO025,CS,James F. Fagan,Brigadier General,0,James,Fagan,F.,
MO025,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
MO025,US,Alfred Pleasonton,Major General,0,Alfred,Pleasonton,,
MO026,CS,Joseph Shelby,Brigadier General,0,Joseph,Shelby,,
MO026,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
MO026,US,James G. Blunt,Major General,0,James,Blunt,G.,
MO026,US,Alfred Pleasonton,Major General,0,Alfred,Pleasonton,,
MO027,CS,Sterling Price,Major General,0,Sterling,Price,,
MO027,US,Samuel R. Curtis,Major General,0,Samuel,Curtis,R.,
MO028,CS,Sterling Price,Major General,0,Sterling,Price,,
MO028,US,John McNeil,Brigadier General,0,John,McNeil,,
MO029,CS,Sterling Price,Major General,0,Sterling,Price,,
MO029,US,James G. Blunt,Major General,0,James,Blunt,G.,
MS001,CS,Sterling Price,Major General,0,Sterling,Price,,
MS001,US,William S. Rosecrans,Major General,0,William,Rosecrans,S.,
MS002,CS,Earl Van Dorn,Major General,0,Earl,Van Dorn,,
MS002,US,William S. Rosecrans,Major General,0,William,Rosecrans,S.,
MS003,CS,John C. Pemberton,Lieutenant General,0,John,Pemberton,C.,
MS003,US,William T. Sherman,Major General,0,William,Sherman,T.,
MS004,CS,John S. Bowen,Brigadier General,0,John,Bowen,S.,
MS004,US,David D. Porter,Rear Admiral,1,David,Porter,D.,
MS005,CS,Louis Hebert,Brigadier General,0,Louis,Hebert,,
MS005,US,William T. Sherman,Major General,0,William,Sherman,T.,
MS006,CS,John S. Bowen,Brigadier General,0,John,Bowen,S.,
MS006,US,Ulysses S. Grant,Major General,0,Ulysses,Grant,S.,
MS007,CS,John Gregg,Brigadier General,0,John,Gregg,,
MS007,US,James B. McPherson,Major General,0,James,McPherson,B.,
MS008,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
MS008,CS,John Gregg,Brigadier General,0,John,Gregg,,
MS008,US,Ulysses S. Grant,Major General,0,Ulysses,Grant,S.,
MS009,CS,John C. Pemberton,Lieutenant General,0,John,Pemberton,C.,
MS009,US,Ulysses S. Grant,Major General,0,Ulysses,Grant,S.,
MS010,CS,John S. Bowen,Brigadier General,0,John,Bowen,S.,
MS010,US,John A. McClernand,Major General,0,John,McClernand,A.,
MS011,CS,John C. Pemberton,Lieutenant General,0,John,Pemberton,C.,
MS011,US,Ulysses S. Grant,Major General,0,Ulysses,Grant,S.,
MS012,CS,Leonidas Polk,Lieutenant General,0,Leonidas,Polk,,
MS012,US,William T. Sherman,Major General,0,William,Sherman,T.,
MS013,CS,Nathan Bedford Forrest,Major General,0,Nathan,Forrest,Bedford,
MS013,US,William Sooy Smith,Brigadier General,0,William,Smith,Sooy,
MS014,CS,Nathan Bedford Forrest,Major General,0,Nathan,Forrest,Bedford,
MS014,US,Samuel D. Sturgis,Brigadier General,0,Samuel,Sturgis,D.,
MS015,CS,Stephen D. Lee,Lieutenant General,0,Stephen,Lee,D.,
MS015,CS,Nathan Bedford Forrest,Major General,0,Nathan,Forrest,Bedford,
MS015,US,A.J. Smith,Major General,0,A.J.,Smith,,
MS016,CS,P.G.T. Beauregard,General,0,P.G.T.,Beauregard,,
MS016,US,Henry W. Halleck,Major General,0,Henry,Halleck,W.,
NC001,CS,William F. Martin,Colonel,0,William,Martin,F.,
NC001,US,Benjamin Butler,Major General,0,Benjamin,Butler,,
NC002,CS,Henry Wise,Brigadier General,0,Henry,Wise,,
NC002,US,Ambrose E. Burnside,Brigadier General,0,Ambrose,Burnside,E.,
NC003,CS,Lawrence O'Bryan Branch,Brigadier General,0,Lawrence,Branch,O'Bryan,
NC003,US,Ambrose E. Burnside,Brigadier General,0,Ambrose,Burnside,E.,
NC004,CS,Moses J. White,Lieutenant Colonel,0,Moses,White,J.,
NC004,US,John G. Parke,Brigadier General,0,John,Parke,G.,
NC005,CS,Ambrose Wright,Colonel,0,Ambrose,Wright,,
NC005,US,Jesse Lee Reno,Brigadier General,0,Jesse,Reno,Lee,
NC006,CS,George Singletary,Colonel,0,George,Singletary,,
NC006,US,F. A. Osborn,Lieutenant Colonel,0,F. A.,Osborn,,
NC007,CS,Nathan Evans,Brigadier General,0,Nathan,Evans,,
