"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"VA016","Beaver Dam Creek","US","Fitz John Porter","http://dbpedia.org/resource/Fitz_John_Porter","Brigadier General"
"VA016","Beaver Dam Creek","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA017","Gaines Mill","US","Fitz John Porter","http://dbpedia.org/resource/Fitz_John_Porter","Brigadier General"
"VA017","Gaines Mill","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA018","Garnetts & Goldings
Farms","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"VA018","Garnetts & Goldings
Farms","CS","John B. Magruder","http://dbpedia.org/resource/John_B._Magruder","Major General"
"VA019","Savages Station","US","Edwin Sumner","http://dbpedia.org/resource/Edwin_Vose_Sumner","Major General"
"VA019","Savages Station","CS","John B. Magruder","http://dbpedia.org/resource/John_B._Magruder","Major General"
"VA020","Glendale/White Oak Swamp","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
"VA020","Glendale/White Oak Swamp","US","William B. Franklin","http://dbpedia.org/resource/William_B._Franklin","Major General"
"VA020","Glendale/White Oak Swamp","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"VA020","Glendale/White Oak Swamp","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA020A","White Oak Swamp","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
"VA020A","White Oak Swamp","US","William B. Franklin","http://dbpedia.org/resource/William_B._Franklin","Major General"
"VA020B","Glendale","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"VA020B","Glendale","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA021","Malvern Hill","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"VA021","Malvern Hill","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA022","Cedar Mountain","US","Nathaniel P. Banks","http://dbpedia.org/resource/Nathaniel_P._Banks","Major General"
"VA022","Cedar Mountain","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
