"id_from","id_to","relation"
"VA049","http://dbpedia.org/resource/Battle_of_Cloyd's_Mountain","="
"VA050","http://dbpedia.org/resource/Battle_of_Swift_Creek","="
"VA051","http://dbpedia.org/resource/Battle_of_Chester_Station","="
"VA052","http://dbpedia.org/resource/Battle_of_Yellow_Tavern","="
"VA053","http://dbpedia.org/resource/Battle_of_Proctor's_Creek","="
"VA054","http://dbpedia.org/resource/Battle_of_Ware_Bottom_Church","="
"VA055","http://dbpedia.org/resource/Battle_of_North_Anna","="
"VA056","http://dbpedia.org/resource/Battle_of_Wilson's_Wharf","="
"VA057","http://dbpedia.org/resource/Battle_of_Totopotomoy_Creek","="
"VA058","http://dbpedia.org/resource/Battle_of_Haw's_Shop","="
"VA059","http://dbpedia.org/resource/Battle_of_Old_Church","="
"VA062","http://dbpedia.org/resource/Battle_of_Cold_Harbor","="
"VA063","http://dbpedia.org/resource/Second_Battle_of_Petersburg","="
"VA064","http://dbpedia.org/resource/Battle_of_Lynchburg","="
"VA065","http://dbpedia.org/resource/Battle_of_Jerusalem_Plank_Road","="
"VA066","http://dbpedia.org/resource/Battle_of_Saint_Mary's_Church","="
"VA067","http://dbpedia.org/resource/Battle_of_Sappony_Church","="
"VA068","http://dbpedia.org/resource/First_Battle_of_Ream's_Station","="
"VA069","http://dbpedia.org/resource/First_Battle_of_Deep_Bottom","="
"VA070","http://dbpedia.org/resource/Battle_of_the_Crater","="
"VA071","http://dbpedia.org/resource/Second_Battle_of_Deep_Bottom","="
"VA072","http://dbpedia.org/resource/Battle_of_Globe_Tavern","="
"VA073","http://dbpedia.org/resource/Second_Battle_of_Ream's_Station","="
"VA074","http://dbpedia.org/resource/Battle_of_Peebles'_Farm","="
"VA075","http://dbpedia.org/resource/Battle_of_Chaffin's_Farm","="
"VA076","http://dbpedia.org/resource/Battle_of_Saltville_I","="
"VA077","http://dbpedia.org/resource/Battle_of_Darbytown_and_New_Market","="
