battle,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry corps,divisions,cavalry divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships and transports,warships,wooden warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,captured_missing,wounded_missing,guns lost,guns captured,small arms lost,small arms captured,warships sunk,warships damaged,gunboats sunk,gunboats captured,ironclads sunk,ironclads captured,forts captured,note
Seven Days Battles,union,91169,,,,,,,,,,,,,,,,,,,,,1734,8062,,,,6053,,,,,,,,,,,,,
Seven Days Battles,confed,3478,,,,,,,,,,,,,,,,,,,,,,16261,,,,875,,,,,,,,,,,,,
The Orchard (Seven Days),union,6000,,,,,,,,,,,,,,,,,,,,,51,401,64,,,,,,,,,,,,,,,,
The Orchard (Seven Days),confed,6000,,,,,,,,,,,,,,,,,,,,,40,263,13,,,,,,,,,,,,,,,,
Mechanicsville (Seven Days),union,15631,,,,,,,,,,,,,,,,,,,,,49,207,105,,,,,,,,,,,,,,,,
Mechanicsville (Seven Days),confed,16356,,,,,,,,,,,,,,,,,,,1484,,,,,,,,,,,,,,,,,,,,
Gaines's Mill (Seven Days),union,34214,,,,,,,,,,,,,,,,,,,,,894,3107,,,,2836,,22,,,,,,,,,,,
Gaines's Mill (Seven Days),confed,57018,,,,,,,,,,,,,,,,,,,8751,,,,,,,,,,,,,,,,,,,,
Savage's Station (Seven Days),union,,,,,,,3,,,,,,,,,,,,,1590,,,,,,,,,,,,,,,,,,,,
Savage's Station (Seven Days),confed,,,,,,,4,,,,,,,,,,,,,626,,,,,,,,,,,,,,,,,,,,
White Oak Swamp (Seven Days),union,,,,,,,4,,,,,,,,,,,,,,,297,1696,1804,,,,,18,,,,,,,,,,,
White Oak Swamp (Seven Days),confed,,,,,,,2,,,,,,,,,,,,,,,638,2814,221,,,,,,,,,,,,,,,,
Malvern Hill (Seven Days),union,83345,,,,,,,,,,,,,,,,,,,3214,,,,,,,,,,,,,,,,,,,,
Malvern Hill (Seven Days),confed,5355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Mountain,union,8030,,,,,,,,,,,,,,,,,,,,,314,1445,594,,,,,,,,,,,,,,,,
Cedar Mountain,confed,16868,,,,,,,,,,,,,,,,,,,,,231,1107,31,,,,,,,,,,,,,,,,
Groveton,union,2800,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,
Groveton,confed,6000,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,
Second Bull Run/Chantilly (Second Manassas),union,75696,,,,,,,,,,,,,,,,,,,,,1724,8372,,,,5958,,30,,,,,,,,,,,
Second Bull Run/Chantilly (Second Manassas),confed,48527,,,,,,,,,,,,,,,,,,,,,1481,7627,89,,,,,,,,,,,,,,,,
