person,surname,battle
http://dbpedia.org/resource/John_S._Bowen,Bowen,http://dbpedia.org/resource/Battle_of_Big_Black_River_Bridge
http://dbpedia.org/resource/John_S._Bowen,Bowen,http://dbpedia.org/resource/Battle_of_Grand_Gulf
http://dbpedia.org/resource/John_S._Bowen,Bowen,http://dbpedia.org/resource/Battle_of_Port_Gibson
http://dbpedia.org/resource/Hermann_Lieb,Lieb,http://dbpedia.org/resource/Battle_of_Milliken's_Bend
http://dbpedia.org/resource/John_Pegram_(general),Pegram,http://dbpedia.org/resource/Battle_of_Rich_Mountain
http://dbpedia.org/resource/John_Pegram_(general),Pegram,http://dbpedia.org/resource/Battle_of_Somerset
http://dbpedia.org/resource/Samuel_Read_Anderson,Anderson,http://dbpedia.org/resource/Battle_of_Cheat_Mountain
http://dbpedia.org/resource/Erastus_B._Tyler,Tyler,http://dbpedia.org/resource/Battle_of_Kessler's_Cross_Lanes
http://dbpedia.org/resource/Erastus_B._Tyler,Tyler,http://dbpedia.org/resource/Battle_of_Port_Republic
http://dbpedia.org/resource/Joseph_B._Plummer,Plummer,http://dbpedia.org/resource/Battle_of_Fredericktown
http://dbpedia.org/resource/William_Hicks_Jackson,Jackson,http://dbpedia.org/resource/Battle_of_Lovejoy's_Station
http://dbpedia.org/resource/Samuel_C._Means,Means,http://dbpedia.org/resource/The_Fight_at_Waterford
http://dbpedia.org/resource/Samuel_C._Means,Means,http://dbpedia.org/resource/Battle_of_Mile_Hill
http://dbpedia.org/resource/John_W._Geary,Geary,http://dbpedia.org/resource/Battle_of_Wauhatchie
http://dbpedia.org/resource/John_W._Geary,Geary,http://dbpedia.org/resource/The_Affair_at_Glenmore_Farm
http://dbpedia.org/resource/Johnson_K._Duncan,Duncan,http://dbpedia.org/resource/Battle_of_Forts_Jackson_and_St._Philip
http://dbpedia.org/resource/Joseph_Thoburn,Thoburn,http://dbpedia.org/resource/Battle_of_Cool_Spring
http://dbpedia.org/resource/John_Milton_Brannan,Brannan,http://dbpedia.org/resource/Battle_of_St._Johns_Bluff
http://dbpedia.org/resource/John_Milton_Brannan,Brannan,http://dbpedia.org/resource/Battle_of_Pocotaligo
http://dbpedia.org/resource/William_H._Seward,Seward,http://dbpedia.org/resource/Chesapeake_Affair
http://dbpedia.org/resource/John_C._Frémont,Fremont,http://dbpedia.org/resource/Battle_of_Cross_Keys
http://dbpedia.org/resource/Henry_W._Wessells,Wessells,http://dbpedia.org/resource/Battle_of_Plymouth_(1864)
http://dbpedia.org/resource/James_S._Negley,Negley,http://dbpedia.org/resource/First_Battle_of_Chattanooga
http://dbpedia.org/resource/James_S._Negley,Negley,http://dbpedia.org/resource/Battle_of_Davis's_Cross_Roads
http://dbpedia.org/resource/Earl_Van_Dorn,Van Dorn,http://dbpedia.org/resource/Battle_of_Thompson's_Station
http://dbpedia.org/resource/Earl_Van_Dorn,Van Dorn,http://dbpedia.org/resource/Battle_of_Franklin_(1863)
http://dbpedia.org/resource/Evander_M._Law,Law,http://dbpedia.org/resource/Battle_of_Brown's_Ferry
