battle,id,strength,casualties,notes
http://en.wikipedia.org/wiki/Battle_of_Oak_Grove,,,,
http://en.wikipedia.org/wiki/Battle_of_Okolona,,,,
http://en.wikipedia.org/wiki/Battle_of_Old_Church,,,,
http://en.wikipedia.org/wiki/Battle_of_Old_Fort_Wayne,,,,
http://en.wikipedia.org/wiki/Battle_of_Old_River_Lake,,,,
http://en.wikipedia.org/wiki/Battle_of_Olustee,,,,
http://en.wikipedia.org/wiki/Battle_of_Opequon,,,,
http://en.wikipedia.org/wiki/Battle_of_Paducah,,,,
http://en.wikipedia.org/wiki/Battle_of_Palmito_Ranch,,,,
http://en.wikipedia.org/wiki/Battle_of_Parker's_Cross_Roads,,,,
http://en.wikipedia.org/wiki/Battle_of_Pea_Ridge,,,,
http://en.wikipedia.org/wiki/Battle_of_Peachtree_Creek,,,,
http://en.wikipedia.org/wiki/Battle_of_Peebles'_Farm,,,,
http://en.wikipedia.org/wiki/Battle_of_Perryville,,,,
http://en.wikipedia.org/wiki/Battle_of_Philippi_(West_Virginia),,,,
http://en.wikipedia.org/wiki/Battle_of_Pickett's_Mill,,,,
http://en.wikipedia.org/wiki/Battle_of_Piedmont,,,,
http://en.wikipedia.org/wiki/Battle_of_Pine_Bluff,,,,
http://en.wikipedia.org/wiki/Battle_of_Plains_Store,,,,
http://en.wikipedia.org/wiki/Battle_of_Pleasant_Hill,,,,
http://en.wikipedia.org/wiki/Battle_of_Plymouth_(1864),,,,
http://en.wikipedia.org/wiki/Battle_of_Poison_Spring,,,,
http://en.wikipedia.org/wiki/Battle_of_Port_Gibson,,,,
http://en.wikipedia.org/wiki/Battle_of_Port_Republic,,,,
http://en.wikipedia.org/wiki/Battle_of_Port_Walthall_Junction,,,550,
http://en.wikipedia.org/wiki/Battle_of_Prairie_D'Ane,,,,
http://en.wikipedia.org/wiki/Battle_of_Prairie_Grove,,,,
http://en.wikipedia.org/wiki/Battle_of_Princeton_Court_House,,,,
http://en.wikipedia.org/wiki/Battle_of_Proctor's_Creek,,,6600,
http://en.wikipedia.org/wiki/Battle_of_Raymond,,,,
http://en.wikipedia.org/wiki/Battle_of_Resaca,,,,
http://en.wikipedia.org/wiki/Battle_of_Rice's_Station,,,,few
http://en.wikipedia.org/wiki/Battle_of_Rich_Mountain,,,,
http://en.wikipedia.org/wiki/Battle_of_Richmond,,,,
http://en.wikipedia.org/wiki/Battle_of_Ringgold_Gap,,,,
http://en.wikipedia.org/wiki/Battle_of_Rivers'_Bridge,,,,
http://en.wikipedia.org/wiki/Battle_of_Roan's_Tan_Yard,,,,
http://en.wikipedia.org/wiki/Battle_of_Roanoke_Island,,,,
http://en.wikipedia.org/wiki/Battle_of_Rocky_Face_Ridge,,,,
http://en.wikipedia.org/wiki/Battle_of_Round_Mountain,,,,
http://en.wikipedia.org/wiki/Battle_of_Rowlett's_Station,,,,
http://en.wikipedia.org/wiki/Battle_of_Rutherford's_Farm,,,,
http://en.wikipedia.org/wiki/Battle_of_Saint_Charles,,,,
http://en.wikipedia.org/wiki/Battle_of_Saint_John's_Bluff,,,,
http://en.wikipedia.org/wiki/Battle_of_Saint_Mary's_Church,,,,
http://en.wikipedia.org/wiki/Battle_of_Salem_Church,,,5000,
http://en.wikipedia.org/wiki/Battle_of_Salineville,,,,
http://en.wikipedia.org/wiki/Battle_of_Saltville_I,,,458,
http://en.wikipedia.org/wiki/Battle_of_Saltville_II,,,,
http://en.wikipedia.org/wiki/Battle_of_Santa_Rosa_Island,,,,
http://en.wikipedia.org/wiki/Battle_of_Sappony_Church,,,,
http://en.wikipedia.org/wiki/Battle_of_Savage's_Station,,,,
http://en.wikipedia.org/wiki/Battle_of_Sayler's_Creek,,,,
http://en.wikipedia.org/wiki/Battle_of_Selma,,,,
http://en.wikipedia.org/wiki/Battle_of_Seven_Pines,,,,
http://en.wikipedia.org/wiki/Battle_of_Sewell's_Point,,,10,
http://en.wikipedia.org/wiki/Battle_of_Shepherdstown,,,,
http://en.wikipedia.org/wiki/Battle_of_Shiloh,,,,
http://en.wikipedia.org/wiki/Battle_of_Simmon's_Bluff,,,,
http://en.wikipedia.org/wiki/Battle_of_Smithfield_Crossing,,,300,
http://en.wikipedia.org/wiki/Battle_of_Snyder's_Bluff,,,,
http://en.wikipedia.org/wiki/Battle_of_South_Mills,,,,
http://en.wikipedia.org/wiki/Battle_of_South_Mountain,,,,
http://en.wikipedia.org/wiki/Battle_of_Spanish_Fort,,,,
http://en.wikipedia.org/wiki/Battle_of_Spotsylvania_Court_House,,,,
http://en.wikipedia.org/wiki/Battle_of_Spring_Hill,,,,
http://en.wikipedia.org/wiki/Battle_of_Staunton_River_Bridge,,,,
http://en.wikipedia.org/wiki/Battle_of_Stirling's_Plantation,,,,
http://en.wikipedia.org/wiki/Battle_of_Stones_River,,,,
http://en.wikipedia.org/wiki/Battle_of_Stony_Lake,,,,
http://en.wikipedia.org/wiki/Battle_of_Suffolk_(Hill's_Point),,45000,,
http://en.wikipedia.org/wiki/Battle_of_Suffolk_(Norfleet_House),,,,
http://en.wikipedia.org/wiki/Battle_of_Summit_Point,,,1000,
http://en.wikipedia.org/wiki/Battle_of_Sutherland's_Station,,,,
http://en.wikipedia.org/wiki/Battle_of_Swift_Creek,,,990,
http://en.wikipedia.org/wiki/Battle_of_Tampa,,,,
http://en.wikipedia.org/wiki/Battle_of_Thompson's_Station,,,,
http://en.wikipedia.org/wiki/Battle_of_Thoroughfare_Gap,,,100,
http://en.wikipedia.org/wiki/Battle_of_Tom's_Brook,,,,
http://en.wikipedia.org/wiki/Battle_of_Totopotomoy_Creek,,,,
http://en.wikipedia.org/wiki/Battle_of_Tranter's_Creek,,,40,
http://en.wikipedia.org/wiki/Battle_of_Trevilian_Station,,,,
http://en.wikipedia.org/wiki/Battle_of_Tupelo,,,,
http://en.wikipedia.org/wiki/Battle_of_Upperville,,,400,
http://en.wikipedia.org/wiki/Battle_of_Utoy_Creek,,,,
http://en.wikipedia.org/wiki/Battle_of_Valverde,,,,
http://en.wikipedia.org/wiki/Battle_of_Vaught's_Hill,,,,
http://en.wikipedia.org/wiki/Battle_of_Vermillion_Bayou,,,,
http://en.wikipedia.org/wiki/Battle_of_Walkerton,,,,
http://en.wikipedia.org/wiki/Battle_of_Ware_Bottom_Church,,10000,1500,
http://en.wikipedia.org/wiki/Battle_of_Washington,,,,
http://en.wikipedia.org/wiki/Battle_of_Wauhatchie,,,,
"http://en.wikipedia.org/wiki/Battle_of_Waynesboro,_Georgia",,,,
"http://en.wikipedia.org/wiki/Battle_of_Waynesboro,_Virginia",,,1800,
http://en.wikipedia.org/wiki/Battle_of_Westport,,,,
http://en.wikipedia.org/wiki/Battle_of_White_Hall,,,150,
http://en.wikipedia.org/wiki/Battle_of_White_Oak_Road,,,,
