battle_id,event_type,state,year,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured
,,IT,1864,"Affair, Hudson's Crossing, Neosho River",June 4,June 4,KANSAS--Detachment Indian Home Guard.,,,,,
,,IT,1864,"Affair, San Bois Creek",June 15,June 16,Capture of Steamer J. R. Williams. (No Details.),,,,,
,,IT,1864,"Skirmish, Iron Bridge",June 19,June 19,KANSAS---6th Cavalry.,,,,,
,,IT,1864,"Skirmish, Cheyenne Fork",July 19,July 19,OHIO--11th Cavalry.,,,,,
,,IT,1864,"Skirmish, Deer Creek Telegraph Station",July 26,July 26,OHIO--11th Cavalry.,,,,,
,,IT,1864,"Skirmish, LaBonti Creek",Aug. 14,Aug 14,OHIO--11th Cavalry.,,,,,
,,IT,1864,"Engagement, Canadian River",Aug. 21,Aug 21,COLORADO--2d Cavalry.,,,,,
,,IT,1864,"Skirmish, Gunter's Prairie",Aug. 24,Aug 24,Confederate Reports.,,,,,
,,IT,1864,"Skirmish, Verdegris Camp",Sept. 2,Sept 2,KANSAS--14th Cavalry.,,,,,
,,IT,1864,"Action, Prior Creek",Sept. 14,Sept 14,"Williams' Brigade, Frontier Division, 7th Corps.",,,,,
,,IT,1864,"Actions, Fort Gibson",Sept. 16,and 18,"KANSAS--2d Cavalry; 1st Colored Infantry (79th U.S. C.T.). Union loss, 38 killed, 48 missing. Total, 86.",,,,,
,,IT,1864,"Action, Cabin Creek",Sept. 19,Sept 19,"KANSAS---2d, 6th and 14th Cavalry; 1st, 2d and 3d Indian Home Guard; 1st Colored Infantry (79th U.S. C.T.). Union loss, 7 killed, 6 wounded, 4 missing. Total, 17.",,,,,
,,IT,1864,"Skirmish, Scullyville",Oct. 4,Oct 4,ARKANSAS--1st Battery Light Arty.,,,,,
,,IT,1864,"Skirmish, Timber Hill",Nov. 19,Nov 19,KANSAS--1st Colored Infantry (79th U.S. C. T.).,,,,,
,,IT,1864,"Skirmish, Fort Lyons",Dec. 9,Dec 9,"COLORADO--1st Cavalry (Detachment). Union loss, 9",,,,,
,,IT,1865,Expedition from Fort Gibson to Little River and Hillabee,March 18,March 30,KANSAS--1st and 3d Indian Home Guard (Detachments).,,,,,
